"l1","ratio","theta","beta_U","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
2,0.04,0.82,0.2,0.717123715179836,0.536680566995085,0.0311238605930133,0.0197938427185234,0.685999854586823,0.516886724276561
2,0.04,0.83,0.2,0.715847704582209,0.537616384795948,0.0311525141193349,0.0197760493632387,0.684695190462874,0.517840335432709
2,0.04,0.84,0.2,0.714556294059664,0.538564795815475,0.0311809417606951,0.019758448174358,0.683375352298969,0.518806347641117
2,0.04,0.85,0.2,0.713249213433667,0.539526020507711,0.0312091467697377,0.0197410366467047,0.682040066663929,0.519784983861006
2,0.04,0.86,0.2,0.711926184705277,0.540500285870477,0.0312371322090474,0.0197238124391015,0.680689052496229,0.520776473431376
2,0.04,0.87,0.2,0.710586920661274,0.541487826743232,0.0312649008449889,0.0197067734683972,0.679322019816285,0.521781053274835
2,0.04,0.88,0.2,0.70923112254183,0.542488888024176,0.031292454949558,0.0196899180862409,0.677938667592272,0.522798969937935
2,0.04,0.89,0.2,0.707858476043971,0.5435037285631,0.0313197959283821,0.0196732454144591,0.676538680115589,0.523830483148641
2,0.04,0.9,0.2,0.706468644340159,0.544532628173139,0.0313469236146192,0.0196567559908562,0.67512172072554,0.524875872182282
2,0.04,0.91,0.2,0.705061255668489,0.545575900598736,0.0313738349068453,0.0196404530384879,0.673687420761643,0.525935447560248
2,0.04,0.92,0.2,0.703635880892382,0.546633918201364,0.0314005210843524,0.0196243450256028,0.67223535980803,0.527009573175761
2,0.04,0.93,0.2,0.702191992210727,0.547707160449653,0.0314269623717516,0.0196084509883909,0.670765029838975,0.528098709461262
2,0.04,0.94,0.2,0.700728885827357,0.548796312389765,0.0314531165753504,0.0195928119826976,0.669275769252007,0.529203500407068
2,0.04,0.95,0.2,0.699245534312963,0.549902471721037,0.0314788944030278,0.0195775166638732,0.667766639909935,0.530324955057164
2,0.04,0.96,0.2,0.697740297091001,0.551027601695068,0.0315041032541364,0.0195627609474641,0.666236193836865,0.531464840747604
2,0.04,0.97,0.2,0.696210321231121,0.552175575717472,0.0315283102788992,0.0195489954076179,0.664682010952222,0.532626580309854
2,0.04,0.98,0.2,0.694650130540408,0.553354814957399,0.0315504691865592,0.0195373254515397,0.663099661353848,0.53381748950586
2,0.04,0.99,0.2,0.69304721752269,0.554586246131067,0.0315676668797434,0.0195308140286304,0.661479550642946,0.535055432102437
3,0.06,0.5,0.2,0.751157971711636,0.512296288735356,0.0451453165892471,0.0308303887407441,0.706012655122389,0.481465899994612
3,0.06,0.51,0.2,0.750300635276028,0.512893410254344,0.0452020825603303,0.0307919954532813,0.705098552715697,0.482101414801062
3,0.06,0.52,0.2,0.749433973336717,0.513498167986408,0.0452582887646019,0.0307540652294849,0.704175684572115,0.482744102756923
3,0.06,0.53,0.2,0.748557858202405,0.514110666118222,0.0453139446776103,0.0307165904962894,0.703243913524794,0.483394075621933
3,0.06,0.54,0.2,0.747672159301345,0.514731011183475,0.0453690595734053,0.0306795638449126,0.70230309972794,0.484051447338562
3,0.06,0.55,0.2,0.746776743121699,0.515359312111332,0.0454236425298974,0.030642978026549,0.701353100591801,0.484716334084783
3,0.06,0.56,0.2,0.745871473149879,0.515995680276556,0.0454777024340456,0.0306068259482036,0.700393770715833,0.485388854328352
3,0.06,0.57,0.2,0.744956209806821,0.516640229551281,0.0455312479868796,0.0305711006686597,0.699424961819942,0.486069128882621
3,0.06,0.58,0.2,0.744030810382129,0.517293076358535,0.0455842877083617,0.0305357953945753,0.698446522673767,0.486757280963959
3,0.06,0.59,0.2,0.743095128966026,0.517954339727508,0.0456368299420947,0.0305009034767045,0.697458299023932,0.487453436250804
3,0.06,0.6,0.2,0.742149016379079,0.518624141350659,0.0456888828598821,0.0304664184062392,0.696460133519197,0.48815772294442
