"l1","alpha","lamda1","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
1,0.02,0.96,0.812209342627346,0.461125626289167,0.462793138099203,0.229326166119634,0.349416204528143,0.231799460169533
1,0.02,0.98,0.815649028454726,0.461103103048591,0.46534227692522,0.229310173674004,0.350306751529506,0.231792929374587
1,0.02,1,0.819088774188694,0.461080578160051,0.46789337179139,0.229294161523753,0.351195402397304,0.231786416636298
2,0.04,0.02,0.648095453277779,0.461134110599648,0.342924462910916,0.229356364817014,0.305170990366864,0.231777745782634
2,0.04,0.04,0.651673222019658,0.461086242364545,0.345511930017415,0.229323556068334,0.306161292002243,0.23176268629621
2,0.04,0.06,0.655245229387839,0.461038475147442,0.348096035060119,0.229290802997716,0.307149194327721,0.231747672149726
2,0.04,0.08,0.658811606464024,0.460990806617613,0.350676895643699,0.229258103516294,0.308134710820325,0.231732703101319
2,0.04,0.1,0.662372483461897,0.460943234454414,0.353254628648544,0.22922545554302,0.309117854813353,0.231717778911394
2,0.04,0.12,0.665927989777201,0.460895756346598,0.355829350277556,0.229192857004024,0.310098639499645,0.231702899342574
2,0.04,0.14,0.669478254036463,0.460848369991636,0.358401176101741,0.229160305831984,0.311077077934721,0.231688064159652
2,0.04,0.16,0.673023404144487,0.460801073095058,0.360970221104676,0.229127799965505,0.312053183039811,0.231673273129553
2,0.04,0.18,0.676563567330704,0.460753863369792,0.363536599725947,0.229095337348506,0.313026967604757,0.231658526021286
2,0.04,0.2,0.680098870194476,0.460706738535524,0.366100425903654,0.22906291592962,0.313998444290822,0.231643822605905
2,0.04,0.22,0.683629438749426,0.460659696318054,0.368661813116039,0.229030533661584,0.314967625633387,0.231629162656469
2,0.04,0.24,0.687155398466898,0.460612734448666,0.371220874422342,0.22899818850066,0.315934524044556,0.231614545948006
2,0.04,0.26,0.690676874318601,0.460565850663504,0.373777722502932,0.228965878406032,0.316899151815669,0.231599972257472
2,0.04,0.28,0.694193990818526,0.460519042702949,0.376332469698799,0.228933601339233,0.317861521119727,0.231585441363717
2,0.04,0.3,0.697706872064201,0.460472308311005,0.378885228050465,0.228901355263555,0.318821644013736,0.23157095304745
2,0.04,0.32,0.701215641777335,0.460425645234681,0.38143610933637,0.228869138143476,0.319779532440965,0.231556507091206
2,0.04,0.34,0.704720423343953,0.46037905122339,0.383985225110809,0.228836947944078,0.320735198233144,0.231542103279312
2,0.04,0.36,0.708221339854028,0.460332524028331,0.386532686741459,0.228804782630477,0.32168865311257,0.231527741397855
2,0.04,0.38,0.711718514140726,0.460286061401892,0.389078605446563,0.228772640167239,0.322639908694163,0.231513421234653
2,0.04,0.4,0.715212068819271,0.460239661097038,0.391623092331822,0.228740518517814,0.323588976487449,0.231499142579223
2,0.04,0.42,0.718702126325516,0.460193320866706,0.394166258427039,0.228708415643952,0.324535867898477,0.231484905222754
2,0.04,0.44,0.722188808954259,0.460147038463204,0.396708214722574,0.228676329505129,0.325480594231685,0.231470708958075
2,0.04,0.46,0.725672238897361,0.460100811637599,0.39924907220566,0.228644258057966,0.326423166691702,0.231456553579633
2,0.04,0.48,0.729152538281709,0.460054638139105,0.401788941896608,0.228612199255645,0.327363596385101,0.23144243888346
2,0.04,0.5,0.732629829207074,0.460008515714478,0.404327934884976,0.228580151047327,0.328301894322098,0.231428364667151
2,0.04,0.52,0.736104233783925,0.459962442107395,0.406866162365726,0.228548111377558,0.329238071418199,0.231414330729836
2,0.04,0.54,0.739575874171225,0.459916415057838,0.409403735675421,0.228516078185678,0.330172138495804,0.23140033687216
2,0.04,0.56,0.743044872614266,0.45987043230147,0.411940766328507,0.228484049405219,0.331104106285759,0.23138638289625
2,0.04,0.58,0.746511351482592,0.459824491569003,0.414477366053718,0.228452022963302,0.332033985428874,0.231372468605702
2,0.04,0.6,0.749975433308047,0.459778590585569,0.41701364683066,0.228419996780021,0.332961786477386,0.231358593805547
2,0.04,0.62,0.753437240823002,0.459732727070073,0.419549720926605,0.228387968767833,0.333887519896397,0.231344758302239
2,0.04,0.64,0.756896896998791,0.459686898734548,0.422085700933535,0.228355936830923,0.334811196065256,0.231330961903625
2,0.04,0.66,0.76035452508442,0.4596411032835,0.424621699805501,0.228323898864574,0.335732825278918,0.231317204418926
2,0.04,0.68,0.76381024864558,0.459595338413239,0.427157830896314,0.228291852754521,0.336652417749265,0.231303485658718
2,0.04,0.7,0.767264191604011,0.45954960181121,0.429694207997629,0.228259796376301,0.337569983606382,0.231289805434909
2,0.04,0.72,0.770716478277269,0.459503891155307,0.432230945377455,0.228227727594588,0.338485532899814,0.231276163560719
2,0.04,0.74,0.774167233418934,0.459458204113177,0.434768157819153,0.228195644262516,0.339399075599781,0.231262559850661
