"Repeat","alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
9,0.2,0.8,0.827,0.693,0.412,0.344,0.415,0.349
9,0.2,0.82,0.859,0.686,0.433,0.344,0.426,0.342
9,0.2,0.84,0.852,0.71,0.426,0.358,0.426,0.352
9,0.2,0.86,0.825,0.69,0.417,0.342,0.408,0.348
9,0.2,0.88,0.742,0.736,0.376,0.355,0.366,0.381
9,0.2,0.9,0.835,0.713,0.424,0.365,0.411,0.348
9,0.2,0.92,0.816,0.699,0.411,0.337,0.405,0.362
9,0.2,0.94,0.833,0.692,0.425,0.348,0.408,0.344
9,0.2,0.96,0.831,0.72,0.419,0.359,0.412,0.361
9,0.2,0.98,0.822,0.725,0.408,0.371,0.414,0.354
9,0.2,1,0.85,0.69,0.425,0.351,0.425,0.339
9,0.22,0.02,0.441,0.134,0.265,0.062,0.176,0.072
9,0.22,0.04,0.505,0.272,0.293,0.14,0.212,0.132
9,0.22,0.06,0.554,0.3,0.312,0.148,0.242,0.152
9,0.22,0.08,0.613,0.406,0.333,0.208,0.28,0.198
9,0.22,0.1,0.633,0.436,0.338,0.225,0.295,0.211
9,0.22,0.12,0.678,0.446,0.352,0.225,0.326,0.221
9,0.22,0.14,0.645,0.521,0.341,0.248,0.304,0.273
9,0.22,0.16,0.699,0.487,0.354,0.243,0.345,0.244
9,0.22,0.18,0.72,0.545,0.373,0.271,0.347,0.274
9,0.22,0.2,0.74,0.613,0.382,0.305,0.358,0.308
9,0.22,0.22,0.767,0.504,0.4,0.258,0.367,0.246
9,0.22,0.24,0.77,0.526,0.4,0.258,0.37,0.268
9,0.22,0.26,0.688,0.675,0.36,0.32,0.328,0.355
9,0.22,0.28,0.762,0.561,0.379,0.273,0.383,0.288
9,0.22,0.3,0.77,0.539,0.396,0.267,0.374,0.272
9,0.22,0.32,0.768,0.555,0.389,0.286,0.379,0.269
9,0.22,0.34,0.791,0.633,0.399,0.326,0.392,0.307
9,0.22,0.36,0.797,0.615,0.401,0.319,0.396,0.296
9,0.22,0.38,0.79,0.662,0.385,0.333,0.405,0.329
9,0.22,0.4,0.788,0.675,0.395,0.354,0.393,0.321
9,0.22,0.42,0.808,0.534,0.416,0.258,0.392,0.276
9,0.22,0.44,0.728,0.688,0.36,0.334,0.368,0.354
9,0.22,0.46,0.817,0.701,0.406,0.353,0.411,0.348
9,0.22,0.48,0.754,0.694,0.388,0.349,0.366,0.345
9,0.22,0.5,0.797,0.615,0.411,0.31,0.386,0.305
9,0.22,0.52,0.782,0.711,0.392,0.35,0.39,0.361
9,0.22,0.54,0.812,0.706,0.414,0.354,0.398,0.352
9,0.22,0.56,0.83,0.686,0.42,0.34,0.41,0.346
9,0.22,0.58,0.85,0.612,0.428,0.296,0.422,0.316
9,0.22,0.6,0.815,0.67,0.414,0.322,0.401,0.348
9,0.22,0.62,0.824,0.724,0.416,0.361,0.408,0.363
9,0.22,0.64,0.833,0.708,0.414,0.356,0.419,0.352
9,0.22,0.66,0.82,0.713,0.409,0.355,0.411,0.358
9,0.22,0.68,0.789,0.721,0.405,0.352,0.384,0.369
9,0.22,0.7,0.823,0.719,0.408,0.349,0.415,0.37
9,0.22,0.72,0.839,0.684,0.428,0.332,0.411,0.352
9,0.22,0.74,0.807,0.762,0.402,0.376,0.405,0.386
9,0.22,0.76,0.814,0.701,0.411,0.352,0.403,0.349
9,0.22,0.78,0.829,0.691,0.404,0.348,0.425,0.343
9,0.22,0.8,0.814,0.728,0.417,0.358,0.397,0.37
9,0.22,0.82,0.808,0.731,0.4,0.363,0.408,0.368
9,0.22,0.84,0.826,0.686,0.412,0.359,0.414,0.327
9,0.22,0.86,0.833,0.676,0.416,0.334,0.417,0.342
9,0.22,0.88,0.827,0.657,0.409,0.328,0.418,0.329
9,0.22,0.9,0.826,0.726,0.409,0.363,0.417,0.363
9,0.22,0.92,0.829,0.714,0.414,0.353,0.415,0.361
9,0.22,0.94,0.82,0.713,0.407,0.35,0.413,0.363
9,0.22,0.96,0.821,0.714,0.41,0.347,0.411,0.367
9,0.22,0.98,0.81,0.73,0.402,0.378,0.408,0.352
9,0.22,1,0.821,0.715,0.398,0.37,0.423,0.345
9,0.24,0.02,0.437,0.124,0.26,0.058,0.177,0.066
9,0.24,0.04,0.41,0.258,0.224,0.122,0.186,0.136
9,0.24,0.06,0.615,0.392,0.341,0.189,0.274,0.203
9,0.24,0.08,0.538,0.403,0.296,0.195,0.242,0.208
9,0.24,0.1,0.57,0.434,0.328,0.212,0.242,0.222
9,0.24,0.12,0.637,0.484,0.337,0.241,0.3,0.243
9,0.24,0.14,0.704,0.463,0.361,0.221,0.343,0.242
9,0.24,0.16,0.63,0.587,0.323,0.297,0.307,0.29
9,0.24,0.18,0.659,0.489,0.346,0.236,0.313,0.253
9,0.24,0.2,0.739,0.571,0.37,0.279,0.369,0.292
9,0.24,0.22,0.73,0.47,0.386,0.248,0.344,0.222
9,0.24,0.24,0.711,0.601,0.359,0.292,0.352,0.309
9,0.24,0.26,0.801,0.66,0.402,0.322,0.399,0.338
9,0.24,0.28,0.771,0.565,0.392,0.271,0.379,0.294
9,0.24,0.3,0.773,0.598,0.391,0.307,0.382,0.291
9,0.24,0.32,0.784,0.49,0.409,0.251,0.375,0.239
9,0.24,0.34,0.689,0.715,0.353,0.359,0.336,0.356
9,0.24,0.36,0.774,0.64,0.387,0.328,0.387,0.312
9,0.24,0.38,0.747,0.68,0.38,0.328,0.367,0.352
9,0.24,0.4,0.795,0.629,0.389,0.323,0.406,0.306
9,0.24,0.42,0.789,0.653,0.391,0.329,0.398,0.324
9,0.24,0.44,0.812,0.597,0.407,0.303,0.405,0.294
9,0.24,0.46,0.804,0.709,0.398,0.35,0.406,0.359
9,0.24,0.48,0.756,0.701,0.381,0.349,0.375,0.352
9,0.24,0.5,0.811,0.711,0.404,0.358,0.407,0.353
9,0.24,0.52,0.774,0.73,0.386,0.361,0.388,0.369
9,0.24,0.54,0.81,0.682,0.397,0.351,0.413,0.331
9,0.24,0.56,0.815,0.694,0.41,0.354,0.405,0.34
9,0.24,0.58,0.821,0.719,0.409,0.368,0.412,0.351
9,0.24,0.6,0.828,0.683,0.423,0.344,0.405,0.339
9,0.24,0.62,0.844,0.65,0.415,0.328,0.429,0.322
9,0.24,0.64,0.822,0.705,0.41,0.365,0.412,0.34
9,0.24,0.66,0.804,0.713,0.409,0.361,0.395,0.352
9,0.24,0.68,0.841,0.672,0.419,0.352,0.422,0.32
9,0.24,0.7,0.834,0.705,0.426,0.35,0.408,0.355
9,0.24,0.72,0.797,0.725,0.39,0.363,0.407,0.362
9,0.24,0.74,0.833,0.705,0.421,0.345,0.412,0.36
9,0.24,0.76,0.838,0.672,0.422,0.34,0.416,0.332
9,0.24,0.78,0.814,0.704,0.404,0.354,0.41,0.35
9,0.24,0.8,0.796,0.732,0.399,0.366,0.397,0.366
9,0.24,0.82,0.846,0.695,0.424,0.343,0.422,0.352
9,0.24,0.84,0.814,0.709,0.411,0.347,0.403,0.362
9,0.24,0.86,0.856,0.695,0.426,0.349,0.43,0.346
9,0.24,0.88,0.802,0.731,0.415,0.368,0.387,0.363
9,0.24,0.9,0.839,0.714,0.426,0.36,0.413,0.354
9,0.24,0.92,0.831,0.73,0.424,0.356,0.407,0.374
9,0.24,0.94,0.84,0.647,0.41,0.326,0.43,0.321
9,0.24,0.96,0.801,0.724,0.404,0.348,0.397,0.376
9,0.24,0.98,0.833,0.694,0.42,0.354,0.413,0.34
9,0.24,1,0.83,0.705,0.411,0.358,0.419,0.347
9,0.26,0.02,0.433,0.141,0.27,0.069,0.163,0.072
9,0.26,0.04,0.509,0.255,0.3,0.118,0.209,0.137
9,0.26,0.06,0.551,0.334,0.314,0.164,0.237,0.17
9,0.26,0.08,0.515,0.373,0.284,0.178,0.231,0.195
9,0.26,0.1,0.547,0.404,0.29,0.197,0.257,0.207
9,0.26,0.12,0.618,0.369,0.322,0.175,0.296,0.194
9,0.26,0.14,0.623,0.479,0.332,0.23,0.291,0.249
9,0.26,0.16,0.684,0.492,0.357,0.25,0.327,0.242
9,0.26,0.18,0.706,0.464,0.376,0.226,0.33,0.238
9,0.26,0.2,0.75,0.497,0.394,0.25,0.356,0.247
9,0.26,0.22,0.745,0.599,0.384,0.305,0.361,0.294
9,0.26,0.24,0.771,0.497,0.393,0.255,0.378,0.242
9,0.26,0.26,0.768,0.562,0.393,0.285,0.375,0.277
9,0.26,0.28,0.787,0.566,0.397,0.271,0.39,0.295
9,0.26,0.3,0.743,0.665,0.384,0.326,0.359,0.339
9,0.26,0.32,0.732,0.708,0.37,0.345,0.362,0.363
9,0.26,0.34,0.798,0.668,0.414,0.328,0.384,0.34
9,0.26,0.36,0.765,0.68,0.392,0.341,0.373,0.339
9,0.26,0.38,0.801,0.643,0.401,0.315,0.4,0.328
9,0.26,0.4,0.825,0.629,0.42,0.304,0.405,0.325
9,0.26,0.42,0.788,0.611,0.397,0.293,0.391,0.318
9,0.26,0.44,0.799,0.583,0.405,0.278,0.394,0.305
9,0.26,0.46,0.733,0.679,0.368,0.342,0.365,0.337
9,0.26,0.48,0.778,0.716,0.402,0.368,0.376,0.348
9,0.26,0.5,0.814,0.658,0.406,0.33,0.408,0.328
9,0.26,0.52,0.797,0.68,0.396,0.346,0.401,0.334
9,0.26,0.54,0.806,0.682,0.405,0.333,0.401,0.349
9,0.26,0.56,0.818,0.562,0.421,0.289,0.397,0.273
9,0.26,0.58,0.788,0.75,0.395,0.371,0.393,0.379
9,0.26,0.6,0.753,0.73,0.383,0.363,0.37,0.367
9,0.26,0.62,0.815,0.728,0.413,0.358,0.402,0.37
9,0.26,0.64,0.804,0.71,0.417,0.355,0.387,0.355
9,0.26,0.66,0.825,0.669,0.402,0.33,0.423,0.339
9,0.26,0.68,0.841,0.687,0.419,0.333,0.422,0.354
9,0.26,0.7,0.828,0.72,0.414,0.345,0.414,0.375
9,0.26,0.72,0.833,0.688,0.409,0.351,0.424,0.337
9,0.26,0.74,0.808,0.707,0.405,0.348,0.403,0.359
9,0.26,0.76,0.807,0.699,0.397,0.355,0.41,0.344
9,0.26,0.78,0.821,0.7,0.406,0.355,0.415,0.345
9,0.26,0.8,0.819,0.71,0.409,0.357,0.41,0.353
9,0.26,0.82,0.81,0.7,0.403,0.355,0.407,0.345
9,0.26,0.84,0.839,0.724,0.422,0.356,0.417,0.368
9,0.26,0.86,0.86,0.616,0.433,0.309,0.427,0.307
9,0.26,0.88,0.818,0.714,0.398,0.361,0.42,0.353
9,0.26,0.9,0.83,0.699,0.42,0.345,0.41,0.354
9,0.26,0.92,0.79,0.744,0.401,0.381,0.389,0.363
9,0.26,0.94,0.82,0.699,0.418,0.348,0.402,0.351
9,0.26,0.96,0.829,0.714,0.41,0.365,0.419,0.349
9,0.26,0.98,0.823,0.681,0.416,0.331,0.407,0.35
9,0.26,1,0.818,0.709,0.404,0.346,0.414,0.363
9,0.28,0.02,0.408,0.144,0.246,0.07,0.162,0.074
9,0.28,0.04,0.52,0.304,0.294,0.144,0.226,0.16
9,0.28,0.06,0.55,0.236,0.305,0.112,0.245,0.124
9,0.28,0.08,0.571,0.317,0.322,0.163,0.249,0.154
9,0.28,0.1,0.645,0.366,0.352,0.174,0.293,0.192
9,0.28,0.12,0.63,0.439,0.341,0.221,0.289,0.218
9,0.28,0.14,0.693,0.459,0.366,0.227,0.327,0.232
9,0.28,0.16,0.732,0.593,0.374,0.308,0.358,0.285
9,0.28,0.18,0.711,0.556,0.364,0.273,0.347,0.283
9,0.28,0.2,0.618,0.552,0.31,0.268,0.308,0.284
9,0.28,0.22,0.748,0.511,0.386,0.246,0.362,0.265
9,0.28,0.24,0.68,0.622,0.346,0.308,0.334,0.314
9,0.28,0.26,0.771,0.601,0.391,0.297,0.38,0.304
9,0.28,0.28,0.795,0.471,0.399,0.24,0.396,0.231
9,0.28,0.3,0.725,0.63,0.376,0.324,0.349,0.306
9,0.28,0.32,0.779,0.619,0.386,0.314,0.393,0.305
9,0.28,0.34,0.781,0.545,0.399,0.268,0.382,0.277
9,0.28,0.36,0.755,0.681,0.375,0.334,0.38,0.347
9,0.28,0.38,0.728,0.654,0.373,0.321,0.355,0.333
9,0.28,0.4,0.766,0.662,0.394,0.33,0.372,0.332
9,0.28,0.42,0.751,0.712,0.382,0.353,0.369,0.359
9,0.28,0.44,0.75,0.696,0.384,0.35,0.366,0.346
9,0.28,0.46,0.772,0.711,0.395,0.361,0.377,0.35
9,0.28,0.48,0.664,0.767,0.358,0.378,0.306,0.389
9,0.28,0.5,0.813,0.671,0.402,0.334,0.411,0.337
9,0.28,0.52,0.735,0.745,0.376,0.365,0.359,0.38
9,0.28,0.54,0.786,0.697,0.391,0.351,0.395,0.346
9,0.28,0.56,0.749,0.736,0.374,0.366,0.375,0.37
9,0.28,0.58,0.83,0.636,0.417,0.321,0.413,0.315
9,0.28,0.6,0.854,0.667,0.431,0.327,0.423,0.34
9,0.28,0.62,0.784,0.719,0.397,0.362,0.387,0.357
9,0.28,0.64,0.752,0.751,0.385,0.383,0.367,0.368
9,0.28,0.66,0.827,0.688,0.411,0.343,0.416,0.345
9,0.28,0.68,0.827,0.69,0.417,0.344,0.41,0.346
9,0.28,0.7,0.831,0.704,0.421,0.355,0.41,0.349
9,0.28,0.72,0.816,0.72,0.425,0.356,0.391,0.364
9,0.28,0.74,0.795,0.713,0.399,0.354,0.396,0.359
9,0.28,0.76,0.837,0.719,0.434,0.367,0.403,0.352
9,0.28,0.78,0.805,0.721,0.397,0.364,0.408,0.357
9,0.28,0.8,0.802,0.721,0.405,0.357,0.397,0.364
9,0.28,0.82,0.827,0.674,0.418,0.332,0.409,0.342
9,0.28,0.84,0.815,0.693,0.41,0.338,0.405,0.355
9,0.28,0.86,0.823,0.707,0.407,0.359,0.416,0.348
9,0.28,0.88,0.832,0.676,0.408,0.351,0.424,0.325
9,0.28,0.9,0.821,0.719,0.413,0.371,0.408,0.348
9,0.28,0.92,0.862,0.705,0.441,0.356,0.421,0.349
9,0.28,0.94,0.837,0.727,0.426,0.358,0.411,0.369
9,0.28,0.96,0.83,0.721,0.421,0.348,0.409,0.373
9,0.28,0.98,0.845,0.7,0.423,0.348,0.422,0.352
9,0.28,1,0.839,0.725,0.426,0.358,0.413,0.367
9,0.3,0.02,0.463,0.156,0.278,0.076,0.185,0.08
9,0.3,0.04,0.566,0.27,0.323,0.129,0.243,0.141
9,0.3,0.06,0.515,0.351,0.293,0.176,0.222,0.175
9,0.3,0.08,0.602,0.32,0.326,0.157,0.276,0.163
9,0.3,0.1,0.643,0.409,0.343,0.194,0.3,0.215
9,0.3,0.12,0.661,0.413,0.353,0.202,0.308,0.211
9,0.3,0.14,0.692,0.432,0.364,0.228,0.328,0.204
9,0.3,0.16,0.589,0.544,0.29,0.262,0.299,0.282
9,0.3,0.18,0.731,0.534,0.382,0.264,0.349,0.27
9,0.3,0.2,0.752,0.531,0.397,0.267,0.355,0.264
9,0.3,0.22,0.739,0.559,0.385,0.287,0.354,0.272
9,0.3,0.24,0.775,0.591,0.393,0.287,0.382,0.304
9,0.3,0.26,0.748,0.593,0.39,0.297,0.358,0.296
9,0.3,0.28,0.79,0.52,0.417,0.252,0.373,0.268
9,0.3,0.3,0.748,0.612,0.388,0.312,0.36,0.3
9,0.3,0.32,0.74,0.624,0.375,0.314,0.365,0.31
9,0.3,0.34,0.737,0.649,0.373,0.334,0.364,0.315
9,0.3,0.36,0.792,0.598,0.393,0.295,0.399,0.303
9,0.3,0.38,0.763,0.701,0.378,0.347,0.385,0.354
9,0.3,0.4,0.838,0.676,0.42,0.346,0.418,0.33
9,0.3,0.42,0.792,0.667,0.389,0.325,0.403,0.342
9,0.3,0.44,0.834,0.639,0.421,0.318,0.413,0.321
9,0.3,0.46,0.816,0.636,0.407,0.318,0.409,0.318
9,0.3,0.48,0.807,0.683,0.403,0.342,0.404,0.341
9,0.3,0.5,0.805,0.694,0.395,0.344,0.41,0.35
9,0.3,0.52,0.792,0.716,0.4,0.344,0.392,0.372
9,0.3,0.54,0.773,0.731,0.395,0.368,0.378,0.363
9,0.3,0.56,0.768,0.738,0.39,0.37,0.378,0.368
9,0.3,0.58,0.784,0.71,0.391,0.358,0.393,0.352
9,0.3,0.6,0.809,0.692,0.405,0.352,0.404,0.34
9,0.3,0.62,0.788,0.717,0.387,0.361,0.401,0.356
9,0.3,0.64,0.831,0.638,0.429,0.329,0.402,0.309
9,0.3,0.66,0.814,0.696,0.414,0.354,0.4,0.342
9,0.3,0.68,0.809,0.731,0.407,0.363,0.402,0.368
9,0.3,0.7,0.806,0.685,0.411,0.345,0.395,0.34
9,0.3,0.72,0.827,0.728,0.406,0.364,0.421,0.364
9,0.3,0.74,0.81,0.701,0.404,0.353,0.406,0.348
9,0.3,0.76,0.853,0.68,0.436,0.334,0.417,0.346
9,0.3,0.78,0.809,0.684,0.406,0.331,0.403,0.353
9,0.3,0.8,0.816,0.713,0.403,0.367,0.413,0.346
9,0.3,0.82,0.803,0.726,0.406,0.372,0.397,0.354
9,0.3,0.84,0.829,0.726,0.416,0.358,0.413,0.368
9,0.3,0.86,0.824,0.708,0.405,0.35,0.419,0.358
9,0.3,0.88,0.833,0.701,0.415,0.336,0.418,0.365
9,0.3,0.9,0.805,0.732,0.399,0.365,0.406,0.367
9,0.3,0.92,0.741,0.763,0.367,0.388,0.374,0.375
9,0.3,0.94,0.848,0.708,0.426,0.343,0.422,0.365
9,0.3,0.96,0.807,0.736,0.405,0.363,0.402,0.373
9,0.3,0.98,0.809,0.729,0.415,0.365,0.394,0.364
9,0.3,1,0.81,0.732,0.403,0.367,0.407,0.365
9,0.32,0.02,0.443,0.145,0.268,0.062,0.175,0.083
9,0.32,0.04,0.441,0.245,0.256,0.117,0.185,0.128
9,0.32,0.06,0.531,0.32,0.294,0.159,0.237,0.161
9,0.32,0.08,0.519,0.406,0.269,0.197,0.25,0.209
9,0.32,0.1,0.553,0.39,0.303,0.197,0.25,0.193
9,0.32,0.12,0.688,0.347,0.372,0.171,0.316,0.176
9,0.32,0.14,0.671,0.403,0.351,0.204,0.32,0.199
9,0.32,0.16,0.702,0.42,0.377,0.202,0.325,0.218
9,0.32,0.18,0.669,0.546,0.348,0.271,0.321,0.275
9,0.32,0.2,0.725,0.563,0.372,0.274,0.353,0.289
9,0.32,0.22,0.758,0.56,0.386,0.275,0.372,0.285
9,0.32,0.24,0.778,0.386,0.398,0.187,0.38,0.199
9,0.32,0.26,0.692,0.662,0.352,0.324,0.34,0.338
9,0.32,0.28,0.799,0.577,0.408,0.282,0.391,0.295
9,0.32,0.3,0.754,0.56,0.387,0.29,0.367,0.27
9,0.32,0.32,0.759,0.631,0.39,0.303,0.369,0.328
9,0.32,0.34,0.76,0.674,0.386,0.337,0.374,0.337
9,0.32,0.36,0.773,0.554,0.395,0.288,0.378,0.266
9,0.32,0.38,0.806,0.609,0.412,0.315,0.394,0.294
9,0.32,0.4,0.674,0.694,0.356,0.341,0.318,0.353
9,0.32,0.42,0.76,0.633,0.38,0.325,0.38,0.308
9,0.32,0.44,0.811,0.634,0.409,0.332,0.402,0.302
9,0.32,0.46,0.734,0.759,0.381,0.379,0.353,0.38
9,0.32,0.48,0.771,0.708,0.385,0.355,0.386,0.353
9,0.32,0.5,0.821,0.695,0.404,0.359,0.417,0.336
9,0.32,0.52,0.843,0.654,0.423,0.333,0.42,0.321
9,0.32,0.54,0.817,0.615,0.407,0.32,0.41,0.295
9,0.32,0.56,0.845,0.664,0.427,0.336,0.418,0.328
9,0.32,0.58,0.808,0.687,0.41,0.343,0.398,0.344
9,0.32,0.6,0.81,0.724,0.413,0.36,0.397,0.364
9,0.32,0.62,0.808,0.679,0.405,0.337,0.403,0.342
9,0.32,0.64,0.821,0.692,0.418,0.339,0.403,0.353
9,0.32,0.66,0.762,0.746,0.382,0.374,0.38,0.372
9,0.32,0.68,0.807,0.734,0.41,0.373,0.397,0.361
9,0.32,0.7,0.821,0.706,0.412,0.352,0.409,0.354
9,0.32,0.72,0.791,0.716,0.411,0.355,0.38,0.361
9,0.32,0.74,0.823,0.655,0.422,0.314,0.401,0.341
9,0.32,0.76,0.821,0.587,0.411,0.295,0.41,0.292
9,0.32,0.78,0.803,0.71,0.41,0.343,0.393,0.367
9,0.32,0.8,0.817,0.735,0.399,0.369,0.418,0.366
9,0.32,0.82,0.848,0.713,0.435,0.342,0.413,0.371
9,0.32,0.84,0.809,0.693,0.404,0.348,0.405,0.345
9,0.32,0.86,0.829,0.7,0.411,0.362,0.418,0.338
9,0.32,0.88,0.83,0.704,0.42,0.352,0.41,0.352
9,0.32,0.9,0.835,0.727,0.413,0.367,0.422,0.36
9,0.32,0.92,0.836,0.699,0.409,0.356,0.427,0.343
9,0.32,0.94,0.814,0.724,0.412,0.37,0.402,0.354
9,0.32,0.96,0.809,0.726,0.403,0.371,0.406,0.355
9,0.32,0.98,0.807,0.726,0.409,0.368,0.398,0.358
9,0.32,1,0.831,0.678,0.424,0.332,0.407,0.346
9,0.34,0.02,0.394,0.144,0.234,0.06,0.16,0.084
9,0.34,0.04,0.498,0.233,0.289,0.114,0.209,0.119
9,0.34,0.06,0.549,0.365,0.315,0.179,0.234,0.186
9,0.34,0.08,0.577,0.435,0.32,0.218,0.257,0.217
9,0.34,0.1,0.626,0.334,0.339,0.174,0.287,0.16
9,0.34,0.12,0.651,0.417,0.352,0.211,0.299,0.206
9,0.34,0.14,0.683,0.506,0.362,0.245,0.321,0.261
9,0.34,0.16,0.724,0.492,0.368,0.244,0.356,0.248
9,0.34,0.18,0.718,0.44,0.382,0.215,0.336,0.225
9,0.34,0.2,0.683,0.46,0.347,0.219,0.336,0.241
9,0.34,0.22,0.741,0.573,0.376,0.284,0.365,0.289
9,0.34,0.24,0.747,0.525,0.382,0.258,0.365,0.267
9,0.34,0.26,0.704,0.617,0.379,0.3,0.325,0.317
9,0.34,0.28,0.729,0.598,0.369,0.301,0.36,0.297
9,0.34,0.3,0.782,0.602,0.401,0.3,0.381,0.302
9,0.34,0.32,0.757,0.613,0.393,0.314,0.364,0.299
9,0.34,0.34,0.724,0.689,0.363,0.324,0.361,0.365
9,0.34,0.36,0.758,0.615,0.385,0.306,0.373,0.309
9,0.34,0.38,0.81,0.574,0.408,0.287,0.402,0.287
9,0.34,0.4,0.742,0.678,0.376,0.339,0.366,0.339
9,0.34,0.42,0.72,0.692,0.364,0.338,0.356,0.354
9,0.34,0.44,0.762,0.68,0.404,0.348,0.358,0.332
9,0.34,0.46,0.858,0.671,0.443,0.322,0.415,0.349
9,0.34,0.48,0.803,0.593,0.41,0.293,0.393,0.3
9,0.34,0.5,0.815,0.677,0.409,0.338,0.406,0.339
9,0.34,0.52,0.799,0.658,0.401,0.319,0.398,0.339
9,0.34,0.54,0.819,0.683,0.424,0.324,0.395,0.359
9,0.34,0.56,0.755,0.727,0.385,0.37,0.37,0.357
9,0.34,0.58,0.758,0.734,0.38,0.366,0.378,0.368
9,0.34,0.6,0.81,0.632,0.399,0.312,0.411,0.32
9,0.34,0.62,0.797,0.716,0.4,0.366,0.397,0.35
9,0.34,0.64,0.795,0.701,0.403,0.347,0.392,0.354
9,0.34,0.66,0.828,0.687,0.409,0.349,0.419,0.338
9,0.34,0.68,0.804,0.711,0.401,0.349,0.403,0.362
9,0.34,0.7,0.825,0.691,0.425,0.342,0.4,0.349
9,0.34,0.72,0.811,0.721,0.407,0.35,0.404,0.371
9,0.34,0.74,0.843,0.704,0.42,0.342,0.423,0.362
9,0.34,0.76,0.817,0.692,0.409,0.359,0.408,0.333
9,0.34,0.78,0.83,0.715,0.41,0.352,0.42,0.363
9,0.34,0.8,0.815,0.729,0.415,0.37,0.4,0.359
9,0.34,0.82,0.826,0.684,0.415,0.34,0.411,0.344
9,0.34,0.84,0.793,0.737,0.404,0.371,0.389,0.366
9,0.34,0.86,0.757,0.724,0.386,0.354,0.371,0.37
9,0.34,0.88,0.776,0.735,0.4,0.35,0.376,0.385
9,0.34,0.9,0.829,0.665,0.412,0.332,0.417,0.333
9,0.34,0.92,0.838,0.698,0.416,0.354,0.422,0.344
9,0.34,0.94,0.817,0.714,0.402,0.355,0.415,0.359
9,0.34,0.96,0.824,0.682,0.412,0.349,0.412,0.333
9,0.34,0.98,0.814,0.684,0.411,0.343,0.403,0.341
9,0.34,1,0.835,0.711,0.421,0.358,0.414,0.353
9,0.36,0.02,0.394,0.137,0.239,0.062,0.155,0.075
9,0.36,0.04,0.527,0.18,0.296,0.085,0.231,0.095
9,0.36,0.06,0.596,0.31,0.323,0.152,0.273,0.158
9,0.36,0.08,0.52,0.371,0.294,0.174,0.226,0.197
9,0.36,0.1,0.593,0.418,0.325,0.209,0.268,0.209
9,0.36,0.12,0.632,0.43,0.341,0.216,0.291,0.214
9,0.36,0.14,0.639,0.444,0.339,0.242,0.3,0.202
9,0.36,0.16,0.697,0.51,0.36,0.245,0.337,0.265
9,0.36,0.18,0.724,0.47,0.38,0.225,0.344,0.245
9,0.36,0.2,0.676,0.562,0.363,0.271,0.313,0.291
9,0.36,0.22,0.77,0.545,0.399,0.275,0.371,0.27
9,0.36,0.24,0.776,0.55,0.394,0.269,0.382,0.281
9,0.36,0.26,0.786,0.568,0.399,0.273,0.387,0.295
9,0.36,0.28,0.755,0.604,0.384,0.305,0.371,0.299
9,0.36,0.3,0.739,0.647,0.386,0.306,0.353,0.341
9,0.36,0.32,0.746,0.625,0.376,0.317,0.37,0.308
9,0.36,0.34,0.785,0.647,0.406,0.319,0.379,0.328
9,0.36,0.36,0.689,0.695,0.351,0.34,0.338,0.355
9,0.36,0.38,0.822,0.608,0.42,0.29,0.402,0.318
9,0.36,0.4,0.769,0.623,0.393,0.31,0.376,0.313
9,0.36,0.42,0.767,0.707,0.379,0.352,0.388,0.355
9,0.36,0.44,0.793,0.691,0.4,0.351,0.393,0.34
9,0.36,0.46,0.789,0.672,0.402,0.332,0.387,0.34
9,0.36,0.48,0.829,0.601,0.415,0.313,0.414,0.288
9,0.36,0.5,0.745,0.678,0.375,0.331,0.37,0.347
9,0.36,0.52,0.789,0.621,0.401,0.308,0.388,0.313
9,0.36,0.54,0.789,0.701,0.392,0.37,0.397,0.331
9,0.36,0.56,0.811,0.677,0.406,0.335,0.405,0.342
9,0.36,0.58,0.806,0.694,0.4,0.341,0.406,0.353
9,0.36,0.6,0.802,0.633,0.401,0.321,0.401,0.312
9,0.36,0.62,0.836,0.7,0.42,0.343,0.416,0.357
9,0.36,0.64,0.82,0.689,0.413,0.345,0.407,0.344
9,0.36,0.66,0.82,0.687,0.415,0.337,0.405,0.35
9,0.36,0.68,0.817,0.717,0.407,0.362,0.41,0.355
9,0.36,0.7,0.841,0.675,0.424,0.35,0.417,0.325
9,0.36,0.72,0.828,0.7,0.417,0.359,0.411,0.341
9,0.36,0.74,0.822,0.697,0.415,0.361,0.407,0.336
9,0.36,0.76,0.83,0.703,0.417,0.36,0.413,0.343
9,0.36,0.78,0.818,0.658,0.416,0.325,0.402,0.333
9,0.36,0.8,0.814,0.725,0.406,0.366,0.408,0.359
9,0.36,0.82,0.84,0.708,0.42,0.362,0.42,0.346
9,0.36,0.84,0.822,0.698,0.409,0.355,0.413,0.343
9,0.36,0.86,0.82,0.733,0.416,0.366,0.404,0.367
9,0.36,0.88,0.825,0.691,0.416,0.339,0.409,0.352
9,0.36,0.9,0.812,0.689,0.406,0.34,0.406,0.349
9,0.36,0.92,0.849,0.681,0.43,0.339,0.419,0.342
9,0.36,0.94,0.828,0.713,0.417,0.362,0.411,0.351
9,0.36,0.96,0.863,0.705,0.417,0.347,0.446,0.358
9,0.36,0.98,0.826,0.694,0.418,0.351,0.408,0.343
