"Repeat","beta_U","rho_A.l.","rho_I.l.","rho_Ah.l.","rho_Ih.l.","rho_Al.l.","rho_Il.l."
5,0.94,0.767,0.66,0.39,0.318,0.377,0.342
5,0.96,0.819,0.7,0.418,0.366,0.401,0.334
5,0.98,0.728,0.731,0.362,0.352,0.366,0.379
5,1,0.766,0.674,0.393,0.338,0.373,0.336
6,0.02,0.329,0.098,0.211,0.046,0.118,0.052
6,0.04,0.504,0.174,0.288,0.08,0.216,0.094
6,0.06,0.58,0.311,0.313,0.145,0.267,0.166
6,0.08,0.523,0.287,0.28,0.142,0.243,0.145
6,0.1,0.572,0.353,0.301,0.162,0.271,0.191
6,0.12,0.628,0.359,0.342,0.167,0.286,0.192
6,0.14,0.647,0.442,0.342,0.221,0.305,0.221
6,0.16,0.62,0.49,0.334,0.229,0.286,0.261
6,0.18,0.669,0.399,0.355,0.204,0.314,0.195
6,0.2,0.624,0.503,0.336,0.254,0.288,0.249
6,0.22,0.717,0.417,0.364,0.2,0.353,0.217
6,0.24,0.686,0.557,0.344,0.257,0.342,0.3
6,0.26,0.702,0.528,0.375,0.26,0.327,0.268
6,0.28,0.75,0.491,0.393,0.249,0.357,0.242
6,0.3,0.762,0.535,0.391,0.269,0.371,0.266
6,0.32,0.708,0.46,0.353,0.218,0.355,0.242
6,0.34,0.742,0.544,0.375,0.266,0.367,0.278
6,0.36,0.705,0.592,0.36,0.302,0.345,0.29
6,0.38,0.705,0.574,0.353,0.28,0.352,0.294
6,0.4,0.692,0.547,0.354,0.282,0.338,0.265
6,0.42,0.725,0.6,0.397,0.301,0.328,0.299
6,0.44,0.789,0.619,0.405,0.314,0.384,0.305
6,0.46,0.733,0.623,0.373,0.307,0.36,0.316
6,0.48,0.686,0.646,0.365,0.321,0.321,0.325
6,0.5,0.684,0.623,0.371,0.304,0.313,0.319
6,0.52,0.732,0.648,0.385,0.331,0.347,0.317
6,0.54,0.803,0.587,0.409,0.293,0.394,0.294
6,0.56,0.794,0.625,0.411,0.315,0.383,0.31
6,0.58,0.763,0.59,0.384,0.301,0.379,0.289
6,0.6,0.813,0.576,0.413,0.284,0.4,0.292
6,0.62,0.761,0.549,0.403,0.287,0.358,0.262
6,0.64,0.774,0.667,0.39,0.323,0.384,0.344
6,0.66,0.8,0.606,0.417,0.303,0.383,0.303
6,0.68,0.772,0.629,0.392,0.307,0.38,0.322
6,0.7,0.8,0.658,0.405,0.317,0.395,0.341
6,0.72,0.836,0.61,0.418,0.303,0.418,0.307
6,0.74,0.82,0.625,0.422,0.296,0.398,0.329
6,0.76,0.822,0.611,0.413,0.299,0.409,0.312
6,0.78,0.775,0.683,0.405,0.327,0.37,0.356
6,0.8,0.788,0.652,0.397,0.316,0.391,0.336
6,0.82,0.78,0.644,0.401,0.329,0.379,0.315
6,0.84,0.796,0.662,0.42,0.322,0.376,0.34
6,0.86,0.789,0.667,0.4,0.33,0.389,0.337
6,0.88,0.804,0.681,0.4,0.331,0.404,0.35
6,0.9,0.767,0.642,0.385,0.321,0.382,0.321
6,0.92,0.793,0.63,0.405,0.322,0.388,0.308
6,0.94,0.767,0.66,0.39,0.318,0.377,0.342
6,0.96,0.819,0.7,0.418,0.366,0.401,0.334
6,0.98,0.728,0.731,0.362,0.352,0.366,0.379
6,1,0.766,0.674,0.393,0.338,0.373,0.336
7,0.02,0.329,0.098,0.211,0.046,0.118,0.052
7,0.04,0.504,0.174,0.288,0.08,0.216,0.094
7,0.06,0.58,0.311,0.313,0.145,0.267,0.166
7,0.08,0.523,0.287,0.28,0.142,0.243,0.145
7,0.1,0.572,0.353,0.301,0.162,0.271,0.191
7,0.12,0.628,0.359,0.342,0.167,0.286,0.192
7,0.14,0.647,0.442,0.342,0.221,0.305,0.221
7,0.16,0.62,0.49,0.334,0.229,0.286,0.261
7,0.18,0.669,0.399,0.355,0.204,0.314,0.195
7,0.2,0.624,0.503,0.336,0.254,0.288,0.249
7,0.22,0.717,0.417,0.364,0.2,0.353,0.217
7,0.24,0.686,0.557,0.344,0.257,0.342,0.3
7,0.26,0.702,0.528,0.375,0.26,0.327,0.268
7,0.28,0.75,0.491,0.393,0.249,0.357,0.242
7,0.3,0.762,0.535,0.391,0.269,0.371,0.266
7,0.32,0.708,0.46,0.353,0.218,0.355,0.242
7,0.34,0.742,0.544,0.375,0.266,0.367,0.278
7,0.36,0.705,0.592,0.36,0.302,0.345,0.29
7,0.38,0.705,0.574,0.353,0.28,0.352,0.294
7,0.4,0.692,0.547,0.354,0.282,0.338,0.265
7,0.42,0.725,0.6,0.397,0.301,0.328,0.299
7,0.44,0.789,0.619,0.405,0.314,0.384,0.305
7,0.46,0.733,0.623,0.373,0.307,0.36,0.316
7,0.48,0.686,0.646,0.365,0.321,0.321,0.325
7,0.5,0.684,0.623,0.371,0.304,0.313,0.319
7,0.52,0.732,0.648,0.385,0.331,0.347,0.317
7,0.54,0.803,0.587,0.409,0.293,0.394,0.294
7,0.56,0.794,0.625,0.411,0.315,0.383,0.31
7,0.58,0.763,0.59,0.384,0.301,0.379,0.289
7,0.6,0.813,0.576,0.413,0.284,0.4,0.292
7,0.62,0.761,0.549,0.403,0.287,0.358,0.262
7,0.64,0.774,0.667,0.39,0.323,0.384,0.344
7,0.66,0.8,0.606,0.417,0.303,0.383,0.303
7,0.68,0.772,0.629,0.392,0.307,0.38,0.322
7,0.7,0.8,0.658,0.405,0.317,0.395,0.341
7,0.72,0.836,0.61,0.418,0.303,0.418,0.307
7,0.74,0.82,0.625,0.422,0.296,0.398,0.329
7,0.76,0.822,0.611,0.413,0.299,0.409,0.312
7,0.78,0.775,0.683,0.405,0.327,0.37,0.356
7,0.8,0.788,0.652,0.397,0.316,0.391,0.336
7,0.82,0.78,0.644,0.401,0.329,0.379,0.315
7,0.84,0.796,0.662,0.42,0.322,0.376,0.34
7,0.86,0.789,0.667,0.4,0.33,0.389,0.337
7,0.88,0.804,0.681,0.4,0.331,0.404,0.35
7,0.9,0.767,0.642,0.385,0.321,0.382,0.321
7,0.92,0.793,0.63,0.405,0.322,0.388,0.308
7,0.94,0.767,0.66,0.39,0.318,0.377,0.342
7,0.96,0.819,0.7,0.418,0.366,0.401,0.334
7,0.98,0.728,0.731,0.362,0.352,0.366,0.379
7,1,0.766,0.674,0.393,0.338,0.373,0.336
8,0.02,0.329,0.098,0.211,0.046,0.118,0.052
8,0.04,0.504,0.174,0.288,0.08,0.216,0.094
8,0.06,0.58,0.311,0.313,0.145,0.267,0.166
8,0.08,0.523,0.287,0.28,0.142,0.243,0.145
8,0.1,0.572,0.353,0.301,0.162,0.271,0.191
8,0.12,0.628,0.359,0.342,0.167,0.286,0.192
8,0.14,0.647,0.442,0.342,0.221,0.305,0.221
8,0.16,0.62,0.49,0.334,0.229,0.286,0.261
8,0.18,0.669,0.399,0.355,0.204,0.314,0.195
8,0.2,0.624,0.503,0.336,0.254,0.288,0.249
8,0.22,0.717,0.417,0.364,0.2,0.353,0.217
8,0.24,0.686,0.557,0.344,0.257,0.342,0.3
8,0.26,0.702,0.528,0.375,0.26,0.327,0.268
8,0.28,0.75,0.491,0.393,0.249,0.357,0.242
8,0.3,0.762,0.535,0.391,0.269,0.371,0.266
8,0.32,0.708,0.46,0.353,0.218,0.355,0.242
8,0.34,0.742,0.544,0.375,0.266,0.367,0.278
8,0.36,0.705,0.592,0.36,0.302,0.345,0.29
8,0.38,0.705,0.574,0.353,0.28,0.352,0.294
8,0.4,0.692,0.547,0.354,0.282,0.338,0.265
8,0.42,0.725,0.6,0.397,0.301,0.328,0.299
8,0.44,0.789,0.619,0.405,0.314,0.384,0.305
8,0.46,0.733,0.623,0.373,0.307,0.36,0.316
8,0.48,0.686,0.646,0.365,0.321,0.321,0.325
8,0.5,0.684,0.623,0.371,0.304,0.313,0.319
8,0.52,0.732,0.648,0.385,0.331,0.347,0.317
8,0.54,0.803,0.587,0.409,0.293,0.394,0.294
8,0.56,0.794,0.625,0.411,0.315,0.383,0.31
8,0.58,0.763,0.59,0.384,0.301,0.379,0.289
8,0.6,0.813,0.576,0.413,0.284,0.4,0.292
8,0.62,0.761,0.549,0.403,0.287,0.358,0.262
8,0.64,0.774,0.667,0.39,0.323,0.384,0.344
8,0.66,0.8,0.606,0.417,0.303,0.383,0.303
8,0.68,0.772,0.629,0.392,0.307,0.38,0.322
8,0.7,0.8,0.658,0.405,0.317,0.395,0.341
8,0.72,0.836,0.61,0.418,0.303,0.418,0.307
8,0.74,0.82,0.625,0.422,0.296,0.398,0.329
8,0.76,0.822,0.611,0.413,0.299,0.409,0.312
8,0.78,0.775,0.683,0.405,0.327,0.37,0.356
8,0.8,0.788,0.652,0.397,0.316,0.391,0.336
8,0.82,0.78,0.644,0.401,0.329,0.379,0.315
8,0.84,0.796,0.662,0.42,0.322,0.376,0.34
8,0.86,0.789,0.667,0.4,0.33,0.389,0.337
8,0.88,0.804,0.681,0.4,0.331,0.404,0.35
8,0.9,0.767,0.642,0.385,0.321,0.382,0.321
8,0.92,0.793,0.63,0.405,0.322,0.388,0.308
8,0.94,0.767,0.66,0.39,0.318,0.377,0.342
8,0.96,0.819,0.7,0.418,0.366,0.401,0.334
8,0.98,0.728,0.731,0.362,0.352,0.366,0.379
8,1,0.766,0.674,0.393,0.338,0.373,0.336
9,0.02,0.329,0.098,0.211,0.046,0.118,0.052
9,0.04,0.504,0.174,0.288,0.08,0.216,0.094
9,0.06,0.58,0.311,0.313,0.145,0.267,0.166
9,0.08,0.523,0.287,0.28,0.142,0.243,0.145
9,0.1,0.572,0.353,0.301,0.162,0.271,0.191
9,0.12,0.628,0.359,0.342,0.167,0.286,0.192
9,0.14,0.647,0.442,0.342,0.221,0.305,0.221
9,0.16,0.62,0.49,0.334,0.229,0.286,0.261
9,0.18,0.669,0.399,0.355,0.204,0.314,0.195
9,0.2,0.624,0.503,0.336,0.254,0.288,0.249
9,0.22,0.717,0.417,0.364,0.2,0.353,0.217
9,0.24,0.686,0.557,0.344,0.257,0.342,0.3
9,0.26,0.702,0.528,0.375,0.26,0.327,0.268
9,0.28,0.75,0.491,0.393,0.249,0.357,0.242
9,0.3,0.762,0.535,0.391,0.269,0.371,0.266
9,0.32,0.708,0.46,0.353,0.218,0.355,0.242
9,0.34,0.742,0.544,0.375,0.266,0.367,0.278
9,0.36,0.705,0.592,0.36,0.302,0.345,0.29
9,0.38,0.705,0.574,0.353,0.28,0.352,0.294
9,0.4,0.692,0.547,0.354,0.282,0.338,0.265
9,0.42,0.725,0.6,0.397,0.301,0.328,0.299
9,0.44,0.789,0.619,0.405,0.314,0.384,0.305
9,0.46,0.733,0.623,0.373,0.307,0.36,0.316
9,0.48,0.686,0.646,0.365,0.321,0.321,0.325
9,0.5,0.684,0.623,0.371,0.304,0.313,0.319
9,0.52,0.732,0.648,0.385,0.331,0.347,0.317
9,0.54,0.803,0.587,0.409,0.293,0.394,0.294
9,0.56,0.794,0.625,0.411,0.315,0.383,0.31
9,0.58,0.763,0.59,0.384,0.301,0.379,0.289
9,0.6,0.813,0.576,0.413,0.284,0.4,0.292
9,0.62,0.761,0.549,0.403,0.287,0.358,0.262
9,0.64,0.774,0.667,0.39,0.323,0.384,0.344
9,0.66,0.8,0.606,0.417,0.303,0.383,0.303
9,0.68,0.772,0.629,0.392,0.307,0.38,0.322
9,0.7,0.8,0.658,0.405,0.317,0.395,0.341
9,0.72,0.836,0.61,0.418,0.303,0.418,0.307
9,0.74,0.82,0.625,0.422,0.296,0.398,0.329
9,0.76,0.822,0.611,0.413,0.299,0.409,0.312
9,0.78,0.775,0.683,0.405,0.327,0.37,0.356
9,0.8,0.788,0.652,0.397,0.316,0.391,0.336
9,0.82,0.78,0.644,0.401,0.329,0.379,0.315
9,0.84,0.796,0.662,0.42,0.322,0.376,0.34
9,0.86,0.789,0.667,0.4,0.33,0.389,0.337
9,0.88,0.804,0.681,0.4,0.331,0.404,0.35
9,0.9,0.767,0.642,0.385,0.321,0.382,0.321
9,0.92,0.793,0.63,0.405,0.322,0.388,0.308
9,0.94,0.767,0.66,0.39,0.318,0.377,0.342
9,0.96,0.819,0.7,0.418,0.366,0.401,0.334
9,0.98,0.728,0.731,0.362,0.352,0.366,0.379
9,1,0.766,0.674,0.393,0.338,0.373,0.336
10,0.02,0.329,0.098,0.211,0.046,0.118,0.052
10,0.04,0.504,0.174,0.288,0.08,0.216,0.094
10,0.06,0.58,0.311,0.313,0.145,0.267,0.166
10,0.08,0.523,0.287,0.28,0.142,0.243,0.145
10,0.1,0.572,0.353,0.301,0.162,0.271,0.191
10,0.12,0.628,0.359,0.342,0.167,0.286,0.192
10,0.14,0.647,0.442,0.342,0.221,0.305,0.221
10,0.16,0.62,0.49,0.334,0.229,0.286,0.261
10,0.18,0.669,0.399,0.355,0.204,0.314,0.195
10,0.2,0.624,0.503,0.336,0.254,0.288,0.249
