"l1","alpha","beta_U","rho_A.l1.","rho_I.l1.","rho_Ah.l1.","rho_Ih.l1.","rho_Al.l1.","rho_Il.l1."
3,0.06,0.32,0.797176642114982,0.644251590151412,0.407532166810105,0.32148906901545,0.389644475304877,0.322762521135962
3,0.06,0.34,0.802109594393701,0.651773787007682,0.409424269942132,0.325297430709298,0.392685324451569,0.326476356298384
3,0.06,0.36,0.806482223723346,0.658471835959604,0.41110377852454,0.328690305213248,0.395378445198806,0.329781530746356
3,0.06,0.38,0.810367764863385,0.664450227364105,0.412598048599199,0.331720231703791,0.397769716264186,0.332729995660315
3,0.06,0.4,0.8138275400093,0.669796820230875,0.413930040260315,0.334431402882331,0.399897499748985,0.335365417348544
3,0.06,0.42,0.816913308287225,0.674586070537513,0.415119179708488,0.336861281794788,0.401794128578737,0.337724788742725
3,0.06,0.44,0.819669081437875,0.678881535838589,0.416182025892984,0.339041857010322,0.403487055544892,0.339839678828267
3,0.06,0.46,0.822132541746445,0.682737838360628,0.417132791506674,0.341000626985418,0.404999750239771,0.34173721137521
3,0.06,0.48,0.824336160004267,0.686202218146863,0.417983754098251,0.342761379263587,0.406352405906015,0.343440838883276
3,0.06,0.5,0.826308084729429,0.689315772488165,0.418745583354531,0.344344812573796,0.407562501374898,0.344970959914369
3,0.06,0.52,0.828072855171142,0.692114452878697,0.419427603768302,0.345769037433636,0.408645251402841,0.346345415445061
3,0.06,0.54,0.829651977274055,0.694629872815822,0.420038007027668,0.347049981925745,0.409613970246388,0.347579890890077
3,0.06,0.56,0.831064392132274,0.696889966764324,0.420584024936721,0.348201722827013,0.410480367195552,0.348688243937311
3,0.06,0.58,0.83232685941129,0.698919531068834,0.421072071099556,0.349236757506298,0.411254788311734,0.349682773562535
3,0.06,0.6,0.833454273006,0.700740670529883,0.421507857694681,0.350166228472893,0.411946415311319,0.350574442056991
3,0.06,0.62,0.834459922315172,0.702373169068645,0.421896492245017,0.351000109811588,0.412563430070155,0.351373059257057
3,0.06,0.64,0.835355709584586,0.703834798909863,0.42224255821737,0.351747362740293,0.413113151367216,0.35208743616957
3,0.06,0.66,0.836152331546439,0.705141579668981,0.422550182471044,0.352416066001901,0.413602149075395,0.35272551366708
3,0.06,0.68,0.836859431878724,0.706307996392592,0.422823091951353,0.353013525631137,0.414036339927371,0.353294470761455
3,0.06,0.7,0.83748572969315,0.707347183793431,0.42306466154195,0.353546367730759,0.4144210681512,0.353800816062672
3,0.06,0.72,0.838039128237757,0.708271082512376,0.42327795461515,0.354020617184941,0.414761173622608,0.354250465327435
3,0.06,0.74,0.838526807199962,0.709090572134738,0.423465757525843,0.354441764683153,0.415061049674119,0.354648807451585
3,0.06,0.76,0.838955301365051,0.709815584815401,0.423630609063172,0.35481482398986,0.415324692301879,0.35500076082554
3,0.06,0.78,0.839330567884934,0.710455202673871,0.423774825690477,0.355144381047222,0.415555742194457,0.355310821626649
3,0.06,0.8,0.839658044012821,0.711017741565819,0.423900523257385,0.355434636219559,0.415757520755435,0.35558310534626
3,0.06,0.82,0.839942696838995,0.711510823391753,0.424009635750127,0.355689440764456,0.415933061088868,0.355821382627298
3,0.06,0.84,0.840189066304085,0.711941438742665,0.42410393155099,0.355912328434172,0.416085134753095,0.356029110308492
3,0.06,0.86,0.840401302555877,0.712316001388847,0.424185027600415,0.356106542963622,0.416216274955462,0.356209458425225
3,0.06,0.88,0.840583198543899,0.71264039587779,0.424254401791997,0.356275062080514,0.416328796751902,0.356365333797276
3,0.06,0.9,0.840738218604626,0.712920019309152,0.424313403878575,0.356420618573959,0.416424814726051,0.356499400735193
3,0.06,0.92,0.840869523673316,0.713159818190956,0.424363265124536,0.3565457188756,0.41650625854878,0.356614099315356
3,0.06,0.94,0.840979993661183,0.71336432114467,0.424405106903599,0.356652659538905,0.416574886757584,0.356711661605765
3,0.06,0.96,0.841072247455198,0.713537668112431,0.424439948411314,0.356743541944886,0.416632299043883,0.356794126167545
3,0.06,0.98,0.841148660929294,0.713683636623345,0.424468713636238,0.356820285514268,0.416679947293056,0.356863351109077
3,0.06,1,0.841211383297638,0.713805665594052,0.424492237712298,0.356884639665181,0.41671914558534,0.356921025928872
4,0.08,0.02,0.439716856300075,0.143262439274516,0.273395065849681,0.0701489499759593,0.166321790450394,0.0731134892985571
4,0.08,0.04,0.519804364562474,0.249101543959041,0.303325299917532,0.122796733770972,0.216479064644942,0.126304810188069
4,0.08,0.06,0.576872791484258,0.326594963792317,0.324613066179092,0.161487242881289,0.252259725305166,0.165107720911028
4,0.08,0.08,0.620073217853753,0.386420788450854,0.340735214874993,0.191440447269792,0.27933800297876,0.194980341181063
4,0.08,0.1,0.653785761804441,0.433802088928733,0.353338322611614,0.215213762413351,0.300447439192827,0.218588326515382
