"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.32,0.84,0.816,0.7025,0.4095,0.3535,0.4065,0.349
0.32,0.86,0.8285,0.702,0.41,0.3585,0.4185,0.3435
0.32,0.88,0.8215,0.7245,0.421,0.3595,0.4005,0.365
0.32,0.9,0.843,0.7085,0.421,0.3555,0.422,0.353
0.32,0.92,0.835,0.7,0.419,0.349,0.416,0.351
0.32,0.94,0.816,0.7175,0.411,0.362,0.405,0.3555
0.32,0.96,0.8235,0.716,0.404,0.3675,0.4195,0.3485
0.32,0.98,0.817,0.717,0.408,0.3635,0.409,0.3535
0.32,1,0.8305,0.694,0.42,0.344,0.4105,0.35
0.34,0.02,0.4225,0.1445,0.258,0.0665,0.1645,0.078
0.34,0.04,0.489,0.2165,0.286,0.108,0.203,0.1085
0.34,0.06,0.53,0.339,0.297,0.1605,0.233,0.1785
0.34,0.08,0.5615,0.412,0.311,0.2075,0.2505,0.2045
0.34,0.1,0.603,0.3895,0.3345,0.1965,0.2685,0.193
0.34,0.12,0.663,0.4565,0.354,0.235,0.309,0.2215
0.34,0.14,0.676,0.4615,0.35,0.235,0.326,0.2265
0.34,0.16,0.7145,0.514,0.367,0.2505,0.3475,0.2635
0.34,0.18,0.692,0.4765,0.361,0.233,0.331,0.2435
0.34,0.2,0.6925,0.514,0.359,0.2465,0.3335,0.2675
0.34,0.22,0.726,0.562,0.3745,0.2775,0.3515,0.2845
0.34,0.24,0.754,0.5685,0.389,0.28,0.365,0.2885
0.34,0.26,0.7435,0.5585,0.387,0.2745,0.3565,0.284
0.34,0.28,0.747,0.583,0.373,0.2915,0.374,0.2915
0.34,0.3,0.775,0.638,0.3945,0.3175,0.3805,0.3205
0.34,0.32,0.7675,0.604,0.391,0.303,0.3765,0.301
0.34,0.34,0.766,0.6665,0.384,0.3235,0.382,0.343
0.34,0.36,0.772,0.5565,0.389,0.282,0.383,0.2745
0.34,0.38,0.796,0.6165,0.401,0.3115,0.395,0.305
0.34,0.4,0.783,0.669,0.3925,0.3335,0.3905,0.3355
0.34,0.42,0.756,0.699,0.3825,0.34,0.3735,0.359
0.34,0.44,0.7765,0.6855,0.4015,0.346,0.375,0.3395
0.34,0.46,0.8255,0.606,0.42,0.295,0.4055,0.311
0.34,0.48,0.803,0.6285,0.4145,0.312,0.3885,0.3165
0.34,0.5,0.8135,0.6405,0.4075,0.319,0.406,0.3215
0.34,0.52,0.816,0.656,0.409,0.3215,0.407,0.3345
0.34,0.54,0.815,0.6805,0.412,0.335,0.403,0.3455
0.34,0.56,0.7715,0.698,0.39,0.357,0.3815,0.341
0.34,0.58,0.7835,0.708,0.393,0.354,0.3905,0.354
0.34,0.6,0.8135,0.6735,0.4085,0.3315,0.405,0.342
0.34,0.62,0.809,0.692,0.407,0.3495,0.402,0.3425
0.34,0.64,0.7885,0.7025,0.4005,0.3595,0.388,0.343
0.34,0.66,0.814,0.693,0.4045,0.349,0.4095,0.344
0.34,0.68,0.8005,0.7045,0.403,0.355,0.3975,0.3495
0.34,0.7,0.8315,0.6985,0.4165,0.3585,0.415,0.34
0.34,0.72,0.8055,0.73,0.4045,0.3565,0.401,0.3735
0.34,0.74,0.8395,0.6965,0.421,0.343,0.4185,0.3535
0.34,0.76,0.8445,0.634,0.4235,0.324,0.421,0.31
0.34,0.78,0.828,0.7295,0.41,0.364,0.418,0.3655
0.34,0.8,0.8185,0.712,0.4115,0.3585,0.407,0.3535
0.34,0.82,0.8185,0.6885,0.4095,0.3475,0.409,0.341
0.34,0.84,0.8145,0.7065,0.4105,0.3575,0.404,0.349
0.34,0.86,0.793,0.721,0.406,0.3595,0.387,0.3615
0.34,0.88,0.815,0.6955,0.4145,0.3385,0.4005,0.357
0.34,0.9,0.837,0.691,0.4195,0.343,0.4175,0.348
0.34,0.92,0.8355,0.6865,0.4185,0.3515,0.417,0.335
0.34,0.94,0.821,0.5875,0.409,0.298,0.412,0.2895
0.34,0.96,0.814,0.705,0.4045,0.358,0.4095,0.347
0.34,0.98,0.8175,0.702,0.4155,0.355,0.402,0.347
0.34,1,0.8235,0.709,0.415,0.357,0.4085,0.352
0.36,0.02,0.424,0.146,0.259,0.067,0.165,0.079
0.36,0.04,0.544,0.2435,0.3065,0.117,0.2375,0.1265
0.36,0.06,0.5605,0.3315,0.308,0.163,0.2525,0.1685
0.36,0.08,0.537,0.389,0.2965,0.193,0.2405,0.196
0.36,0.1,0.6085,0.407,0.3285,0.2095,0.28,0.1975
0.36,0.12,0.6125,0.446,0.33,0.226,0.2825,0.22
0.36,0.14,0.6775,0.475,0.3575,0.2475,0.32,0.2275
0.36,0.16,0.6915,0.5285,0.364,0.263,0.3275,0.2655
0.36,0.18,0.723,0.528,0.373,0.2585,0.35,0.2695
0.36,0.2,0.7305,0.583,0.38,0.2845,0.3505,0.2985
0.36,0.22,0.7575,0.55,0.3905,0.2795,0.367,0.2705
0.36,0.24,0.767,0.5725,0.3925,0.2865,0.3745,0.286
0.36,0.26,0.768,0.594,0.3925,0.286,0.3755,0.308
0.36,0.28,0.7505,0.6095,0.3815,0.303,0.369,0.3065
0.36,0.3,0.7745,0.6325,0.4,0.304,0.3745,0.3285
0.36,0.32,0.7565,0.583,0.383,0.293,0.3735,0.29
0.36,0.34,0.775,0.6025,0.394,0.2975,0.381,0.305
0.36,0.36,0.726,0.68,0.3705,0.3325,0.3555,0.3475
0.36,0.38,0.7995,0.5875,0.403,0.2825,0.3965,0.305
0.36,0.4,0.766,0.6525,0.389,0.325,0.377,0.3275
0.36,0.42,0.7225,0.7235,0.364,0.363,0.3585,0.3605
0.36,0.44,0.807,0.665,0.4045,0.3365,0.4025,0.3285
0.36,0.46,0.79,0.679,0.3975,0.337,0.3925,0.342
0.36,0.48,0.8245,0.6405,0.413,0.324,0.4115,0.3165
0.36,0.5,0.761,0.6635,0.3855,0.326,0.3755,0.3375
0.36,0.52,0.803,0.6185,0.406,0.3035,0.397,0.315
0.36,0.54,0.7975,0.6605,0.398,0.34,0.3995,0.3205
0.36,0.56,0.794,0.7055,0.398,0.3515,0.396,0.354
0.36,0.58,0.817,0.688,0.411,0.34,0.406,0.348
0.36,0.6,0.8115,0.6565,0.413,0.3315,0.3985,0.325
0.36,0.62,0.8105,0.6905,0.4095,0.3355,0.401,0.355
0.36,0.64,0.824,0.692,0.4135,0.3435,0.4105,0.3485
0.36,0.66,0.8165,0.6555,0.4085,0.321,0.408,0.3345
0.36,0.68,0.8045,0.7185,0.4,0.3625,0.4045,0.356
0.36,0.7,0.8355,0.692,0.417,0.3515,0.4185,0.3405
0.36,0.72,0.7805,0.7305,0.3895,0.372,0.391,0.3585
0.36,0.74,0.815,0.702,0.4065,0.36,0.4085,0.342
0.36,0.76,0.8215,0.701,0.4135,0.354,0.408,0.347
0.36,0.78,0.8185,0.67,0.415,0.339,0.4035,0.331
0.36,0.8,0.8295,0.718,0.41,0.357,0.4195,0.361
0.36,0.82,0.8405,0.707,0.417,0.3575,0.4235,0.3495
0.36,0.84,0.833,0.694,0.412,0.3465,0.421,0.3475
0.36,0.86,0.826,0.7145,0.4145,0.3575,0.4115,0.357
0.36,0.88,0.8225,0.6945,0.4125,0.341,0.41,0.3535
0.36,0.9,0.8105,0.717,0.402,0.357,0.4085,0.36
0.36,0.92,0.84,0.6865,0.426,0.3445,0.414,0.342
0.36,0.94,0.8375,0.7135,0.4245,0.359,0.413,0.3545
0.36,0.96,0.8385,0.715,0.413,0.358,0.4255,0.357
0.36,0.98,0.827,0.689,0.417,0.344,0.41,0.345
0.36,1,0.8185,0.6935,0.4155,0.335,0.403,0.3585
0.38,0.02,0.435,0.1245,0.2625,0.058,0.1725,0.0665
0.38,0.04,0.4615,0.226,0.2665,0.105,0.195,0.121
0.38,0.06,0.5145,0.322,0.278,0.159,0.2365,0.163
0.38,0.08,0.5545,0.412,0.299,0.1995,0.2555,0.2125
0.38,0.1,0.6105,0.371,0.33,0.1815,0.2805,0.1895
0.38,0.12,0.6275,0.471,0.33,0.231,0.2975,0.24
0.38,0.14,0.6585,0.4935,0.339,0.2465,0.3195,0.247
0.38,0.16,0.6935,0.505,0.3575,0.2495,0.336,0.2555
0.38,0.18,0.6935,0.492,0.3625,0.2475,0.331,0.2445
0.38,0.2,0.7255,0.561,0.376,0.285,0.3495,0.276
0.38,0.22,0.699,0.5695,0.3655,0.28,0.3335,0.2895
0.38,0.24,0.7325,0.5355,0.377,0.2765,0.3555,0.259
0.38,0.26,0.731,0.6105,0.3665,0.3075,0.3645,0.303
0.38,0.28,0.72,0.582,0.369,0.277,0.351,0.305
0.38,0.3,0.7575,0.5335,0.3895,0.257,0.368,0.2765
0.38,0.32,0.7795,0.558,0.3985,0.279,0.381,0.279
0.38,0.34,0.7435,0.6645,0.3805,0.332,0.363,0.3325
0.38,0.36,0.786,0.612,0.396,0.2995,0.39,0.3125
0.38,0.38,0.7585,0.6125,0.3945,0.3105,0.364,0.302
0.38,0.4,0.787,0.6005,0.394,0.292,0.393,0.3085
0.38,0.42,0.8095,0.647,0.412,0.3235,0.3975,0.3235
0.38,0.44,0.804,0.591,0.4035,0.2965,0.4005,0.2945
0.38,0.46,0.7985,0.6315,0.397,0.3175,0.4015,0.314
0.38,0.48,0.7915,0.6445,0.3955,0.3285,0.396,0.316
0.38,0.5,0.766,0.6555,0.39,0.328,0.376,0.3275
0.38,0.52,0.744,0.709,0.37,0.356,0.374,0.353
0.38,0.54,0.827,0.669,0.4175,0.33,0.4095,0.339
0.38,0.56,0.798,0.669,0.402,0.3315,0.396,0.3375
0.38,0.58,0.7955,0.7215,0.392,0.3605,0.4035,0.361
0.38,0.6,0.7985,0.6945,0.3945,0.351,0.404,0.3435
0.38,0.62,0.803,0.679,0.403,0.335,0.4,0.344
0.38,0.64,0.788,0.709,0.4,0.3495,0.388,0.3595
0.38,0.66,0.823,0.6975,0.4115,0.348,0.4115,0.3495
0.38,0.68,0.82,0.69,0.4155,0.351,0.4045,0.339
0.38,0.7,0.821,0.7115,0.4055,0.359,0.4155,0.3525
0.38,0.72,0.7985,0.6745,0.395,0.3445,0.4035,0.33
0.38,0.74,0.822,0.6985,0.416,0.343,0.406,0.3555
0.38,0.76,0.825,0.7095,0.415,0.348,0.41,0.3615
0.38,0.78,0.8275,0.7025,0.4125,0.3535,0.415,0.349
0.38,0.8,0.815,0.6905,0.415,0.345,0.4,0.3455
0.38,0.82,0.8155,0.7045,0.4015,0.352,0.414,0.3525
0.38,0.84,0.8265,0.701,0.4195,0.3515,0.407,0.3495
0.38,0.86,0.8165,0.707,0.414,0.3575,0.4025,0.3495
0.38,0.88,0.82,0.574,0.415,0.288,0.405,0.286
0.38,0.9,0.823,0.6985,0.41,0.3505,0.413,0.348
0.38,0.92,0.7365,0.7555,0.3735,0.374,0.363,0.3815
0.38,0.94,0.798,0.7065,0.3975,0.357,0.4005,0.3495
0.38,0.96,0.816,0.7205,0.4115,0.3625,0.4045,0.358
0.38,0.98,0.829,0.6965,0.4175,0.355,0.4115,0.3415
0.38,1,0.7895,0.726,0.393,0.3665,0.3965,0.3595
0.4,0.02,0.367,0.1175,0.222,0.0565,0.145,0.061
0.4,0.04,0.5005,0.197,0.2755,0.088,0.225,0.109
0.4,0.06,0.514,0.307,0.2875,0.1455,0.2265,0.1615
0.4,0.08,0.578,0.378,0.3265,0.1855,0.2515,0.1925
0.4,0.1,0.654,0.378,0.358,0.1905,0.296,0.1875
0.4,0.12,0.675,0.474,0.352,0.235,0.323,0.239
0.4,0.14,0.669,0.4935,0.3505,0.2375,0.3185,0.256
0.4,0.16,0.631,0.474,0.331,0.244,0.3,0.23
0.4,0.18,0.7035,0.5305,0.374,0.268,0.3295,0.2625
0.4,0.2,0.6765,0.551,0.348,0.282,0.3285,0.269
0.4,0.22,0.691,0.5505,0.3545,0.2785,0.3365,0.272
0.4,0.24,0.754,0.488,0.394,0.2475,0.36,0.2405
0.4,0.26,0.7345,0.574,0.3655,0.279,0.369,0.295
0.4,0.28,0.759,0.605,0.3915,0.297,0.3675,0.308
0.4,0.3,0.739,0.612,0.38,0.3045,0.359,0.3075
0.4,0.32,0.774,0.6045,0.3935,0.3055,0.3805,0.299
0.4,0.34,0.778,0.5925,0.389,0.2895,0.389,0.303
0.4,0.36,0.8135,0.5445,0.4175,0.2745,0.396,0.27
0.4,0.38,0.7685,0.6125,0.3935,0.3065,0.375,0.306
0.4,0.4,0.7885,0.6305,0.3955,0.3085,0.393,0.322
0.4,0.42,0.7415,0.6655,0.379,0.339,0.3625,0.3265
0.4,0.44,0.767,0.684,0.395,0.3375,0.372,0.3465
0.4,0.46,0.83,0.634,0.4185,0.3195,0.4115,0.3145
0.4,0.48,0.821,0.674,0.413,0.342,0.408,0.332
0.4,0.5,0.774,0.6945,0.399,0.339,0.375,0.3555
0.4,0.52,0.761,0.693,0.3915,0.353,0.3695,0.34
0.4,0.54,0.7815,0.6925,0.3985,0.346,0.383,0.3465
0.4,0.56,0.8065,0.702,0.4015,0.351,0.405,0.351
0.4,0.58,0.819,0.652,0.414,0.326,0.405,0.326
0.4,0.6,0.8115,0.6785,0.4125,0.345,0.399,0.3335
0.4,0.62,0.7765,0.731,0.3965,0.369,0.38,0.362
0.4,0.64,0.7985,0.6915,0.398,0.348,0.4005,0.3435
0.4,0.66,0.828,0.6675,0.4175,0.3345,0.4105,0.333
0.4,0.68,0.79,0.679,0.3925,0.339,0.3975,0.34
0.4,0.7,0.816,0.6865,0.407,0.336,0.409,0.3505
0.4,0.72,0.812,0.577,0.4025,0.2955,0.4095,0.2815
0.4,0.74,0.8375,0.673,0.416,0.34,0.4215,0.333
0.4,0.76,0.8285,0.6905,0.417,0.347,0.4115,0.3435
0.4,0.78,0.809,0.718,0.408,0.3465,0.401,0.3715
0.4,0.8,0.781,0.7055,0.394,0.3555,0.387,0.35
0.4,0.82,0.855,0.6785,0.4275,0.334,0.4275,0.3445
0.4,0.84,0.7785,0.729,0.3925,0.368,0.386,0.361
0.4,0.86,0.8275,0.7045,0.4215,0.356,0.406,0.3485
0.4,0.88,0.844,0.686,0.424,0.345,0.42,0.341
0.4,0.9,0.8095,0.724,0.405,0.361,0.4045,0.363
0.4,0.92,0.7785,0.733,0.384,0.372,0.3945,0.361
0.4,0.94,0.819,0.7085,0.4075,0.355,0.4115,0.3535
0.4,0.96,0.825,0.6595,0.416,0.329,0.409,0.3305
0.4,0.98,0.827,0.707,0.4115,0.3655,0.4155,0.3415
0.4,1,0.8265,0.705,0.4225,0.3435,0.404,0.3615
0.42,0.02,0.3705,0.1195,0.2295,0.0585,0.141,0.061
0.42,0.04,0.4795,0.2135,0.278,0.099,0.2015,0.1145
0.42,0.06,0.536,0.3185,0.305,0.1595,0.231,0.159
0.42,0.08,0.586,0.399,0.3165,0.196,0.2695,0.203
0.42,0.1,0.637,0.3805,0.34,0.189,0.297,0.1915
0.42,0.12,0.647,0.402,0.344,0.1975,0.303,0.2045
0.42,0.14,0.6475,0.461,0.3555,0.234,0.292,0.227
0.42,0.16,0.6875,0.461,0.3755,0.2285,0.312,0.2325
0.42,0.18,0.6715,0.518,0.345,0.2585,0.3265,0.2595
0.42,0.2,0.6935,0.569,0.358,0.288,0.3355,0.281
0.42,0.22,0.752,0.4895,0.385,0.2525,0.367,0.237
0.42,0.24,0.732,0.57,0.3765,0.271,0.3555,0.299
0.42,0.26,0.7375,0.521,0.3745,0.259,0.363,0.262
0.42,0.28,0.7775,0.548,0.399,0.271,0.3785,0.277
0.42,0.3,0.7215,0.5495,0.3635,0.2675,0.358,0.282
0.42,0.32,0.757,0.617,0.3925,0.3025,0.3645,0.3145
0.42,0.34,0.726,0.6615,0.3635,0.328,0.3625,0.3335
0.42,0.36,0.761,0.6315,0.3915,0.321,0.3695,0.3105
0.42,0.38,0.7985,0.639,0.3965,0.3205,0.402,0.3185
0.42,0.4,0.795,0.6195,0.408,0.3075,0.387,0.312
0.42,0.42,0.7995,0.6085,0.3995,0.305,0.4,0.3035
0.42,0.44,0.7125,0.697,0.3615,0.352,0.351,0.345
0.42,0.46,0.797,0.668,0.4005,0.333,0.3965,0.335
0.42,0.48,0.7595,0.6285,0.383,0.322,0.3765,0.3065
0.42,0.5,0.8085,0.635,0.4085,0.315,0.4,0.32
0.42,0.52,0.799,0.6645,0.3985,0.33,0.4005,0.3345
0.42,0.54,0.786,0.681,0.3975,0.3435,0.3885,0.3375
0.42,0.56,0.7945,0.6515,0.3875,0.3235,0.407,0.328
0.42,0.58,0.794,0.691,0.399,0.349,0.395,0.342
0.42,0.6,0.7645,0.686,0.3765,0.3495,0.388,0.3365
0.42,0.62,0.769,0.712,0.375,0.3605,0.394,0.3515
0.42,0.64,0.818,0.6265,0.4085,0.307,0.4095,0.3195
0.42,0.66,0.81,0.649,0.406,0.322,0.404,0.327
0.42,0.68,0.823,0.6805,0.4155,0.3425,0.4075,0.338
0.42,0.7,0.8255,0.707,0.4135,0.347,0.412,0.36
0.42,0.72,0.835,0.662,0.415,0.331,0.42,0.331
0.42,0.74,0.8055,0.7065,0.409,0.361,0.3965,0.3455
0.42,0.76,0.7815,0.7335,0.3975,0.365,0.384,0.3685
0.42,0.78,0.821,0.6955,0.405,0.3465,0.416,0.349
0.42,0.8,0.813,0.699,0.4105,0.3445,0.4025,0.3545
0.42,0.82,0.807,0.71,0.41,0.3545,0.397,0.3555
0.42,0.84,0.8125,0.705,0.407,0.3465,0.4055,0.3585
0.42,0.86,0.812,0.682,0.4095,0.35,0.4025,0.332
0.42,0.88,0.802,0.716,0.407,0.355,0.395,0.361
0.42,0.9,0.81,0.718,0.407,0.3565,0.403,0.3615
0.42,0.92,0.817,0.698,0.411,0.349,0.406,0.349
0.42,0.94,0.8235,0.686,0.4105,0.344,0.413,0.342
0.42,0.96,0.82,0.6985,0.416,0.3525,0.404,0.346
0.42,0.98,0.803,0.7285,0.4035,0.3755,0.3995,0.353
0.42,1,0.8175,0.7025,0.4135,0.345,0.404,0.3575
0.44,0.02,0.403,0.1175,0.2565,0.055,0.1465,0.0625
0.44,0.04,0.502,0.2575,0.292,0.13,0.21,0.1275
0.44,0.06,0.545,0.2555,0.305,0.1185,0.24,0.137
0.44,0.08,0.585,0.346,0.31,0.1715,0.275,0.1745
0.44,0.1,0.644,0.3865,0.343,0.1885,0.301,0.198
0.44,0.12,0.6335,0.428,0.331,0.216,0.3025,0.212
0.44,0.14,0.6535,0.412,0.3405,0.202,0.313,0.21
0.44,0.16,0.652,0.521,0.3385,0.262,0.3135,0.259
0.44,0.18,0.7245,0.536,0.381,0.2665,0.3435,0.2695
0.44,0.2,0.7035,0.5295,0.368,0.263,0.3355,0.2665
0.44,0.22,0.6945,0.5425,0.3645,0.265,0.33,0.2775
0.44,0.24,0.739,0.5735,0.3795,0.2835,0.3595,0.29
0.44,0.26,0.753,0.581,0.3815,0.2915,0.3715,0.2895
0.44,0.28,0.7715,0.5125,0.395,0.2595,0.3765,0.253
0.44,0.3,0.732,0.639,0.377,0.3105,0.355,0.3285
0.44,0.32,0.7755,0.5875,0.388,0.302,0.3875,0.2855
0.44,0.34,0.7715,0.5775,0.397,0.2855,0.3745,0.292
0.44,0.36,0.709,0.675,0.368,0.3295,0.341,0.3455
0.44,0.38,0.7665,0.694,0.3945,0.35,0.372,0.344
0.44,0.4,0.7845,0.6195,0.398,0.306,0.3865,0.3135
0.44,0.42,0.7815,0.6565,0.3915,0.3295,0.39,0.327
0.44,0.44,0.762,0.639,0.3835,0.315,0.3785,0.324
0.44,0.46,0.7785,0.62,0.386,0.3085,0.3925,0.3115
0.44,0.48,0.8135,0.6775,0.406,0.34,0.4075,0.3375
0.44,0.5,0.782,0.6755,0.395,0.3365,0.387,0.339
0.44,0.52,0.786,0.702,0.3945,0.3425,0.3915,0.3595
0.44,0.54,0.7795,0.6135,0.3955,0.3065,0.384,0.307
0.44,0.56,0.794,0.6545,0.3995,0.3335,0.3945,0.321
0.44,0.58,0.8235,0.7055,0.4145,0.3565,0.409,0.349
0.44,0.6,0.7645,0.7175,0.3875,0.36,0.377,0.3575
0.44,0.62,0.764,0.701,0.3855,0.3535,0.3785,0.3475
0.44,0.64,0.8115,0.657,0.4065,0.3265,0.405,0.3305
0.44,0.66,0.822,0.6145,0.399,0.3035,0.423,0.311
0.44,0.68,0.793,0.6995,0.403,0.346,0.39,0.3535
0.44,0.7,0.8045,0.703,0.4085,0.351,0.396,0.352
0.44,0.72,0.8125,0.659,0.4065,0.326,0.406,0.333
0.44,0.74,0.8335,0.621,0.41,0.308,0.4235,0.313
0.44,0.76,0.7835,0.7035,0.4035,0.359,0.38,0.3445
0.44,0.78,0.8295,0.7015,0.4165,0.345,0.413,0.3565
0.44,0.8,0.841,0.69,0.424,0.35,0.417,0.34
0.44,0.82,0.8285,0.684,0.4175,0.3345,0.411,0.3495
0.44,0.84,0.8175,0.687,0.411,0.3385,0.4065,0.3485
0.44,0.86,0.8005,0.7165,0.404,0.3605,0.3965,0.356
0.44,0.88,0.836,0.673,0.4135,0.331,0.4225,0.342
0.44,0.9,0.811,0.714,0.3965,0.3605,0.4145,0.3535
0.44,0.92,0.8135,0.7025,0.4055,0.352,0.408,0.3505
0.44,0.94,0.8265,0.722,0.419,0.3625,0.4075,0.3595
0.44,0.96,0.8305,0.688,0.414,0.347,0.4165,0.341
0.44,0.98,0.844,0.691,0.4155,0.3425,0.4285,0.3485
0.44,1,0.756,0.749,0.3905,0.379,0.3655,0.37
0.46,0.02,0.3865,0.111,0.2355,0.0495,0.151,0.0615
0.46,0.04,0.4905,0.2075,0.2685,0.0965,0.222,0.111
0.46,0.06,0.561,0.2905,0.309,0.1405,0.252,0.15
0.46,0.08,0.578,0.367,0.3085,0.173,0.2695,0.194
0.46,0.1,0.6035,0.381,0.321,0.1805,0.2825,0.2005
0.46,0.12,0.579,0.454,0.3205,0.2285,0.2585,0.2255
0.46,0.14,0.683,0.508,0.356,0.2375,0.327,0.2705
0.46,0.16,0.678,0.504,0.356,0.2505,0.322,0.2535
0.46,0.18,0.6565,0.521,0.332,0.2575,0.3245,0.2635
0.46,0.2,0.7045,0.4975,0.3635,0.2525,0.341,0.245
0.46,0.22,0.7115,0.599,0.368,0.2825,0.3435,0.3165
0.46,0.24,0.723,0.526,0.382,0.264,0.341,0.262
0.46,0.26,0.77,0.564,0.394,0.2765,0.376,0.2875
0.46,0.28,0.731,0.593,0.3815,0.2955,0.3495,0.2975
0.46,0.3,0.765,0.5685,0.3905,0.2855,0.3745,0.283
0.46,0.32,0.7625,0.627,0.396,0.304,0.3665,0.323
0.46,0.34,0.769,0.583,0.3885,0.285,0.3805,0.298
0.46,0.36,0.7295,0.6565,0.366,0.3325,0.3635,0.324
0.46,0.38,0.7345,0.6615,0.3735,0.334,0.361,0.3275
0.46,0.4,0.801,0.6135,0.401,0.307,0.4,0.3065
0.46,0.42,0.7765,0.644,0.395,0.322,0.3815,0.322
0.46,0.44,0.7445,0.662,0.3725,0.326,0.372,0.336
0.46,0.46,0.7935,0.629,0.4035,0.3165,0.39,0.3125
0.46,0.48,0.761,0.6645,0.3775,0.338,0.3835,0.3265
0.46,0.5,0.812,0.6135,0.4055,0.2995,0.4065,0.314
0.46,0.52,0.788,0.5875,0.4005,0.2905,0.3875,0.297
0.46,0.54,0.8055,0.697,0.412,0.3455,0.3935,0.3515
0.46,0.56,0.811,0.7035,0.4095,0.35,0.4015,0.3535
0.46,0.58,0.8025,0.6635,0.4055,0.327,0.397,0.3365
0.46,0.6,0.789,0.686,0.401,0.3405,0.388,0.3455
0.46,0.62,0.8305,0.6435,0.417,0.322,0.4135,0.3215
0.46,0.64,0.836,0.69,0.4125,0.3415,0.4235,0.3485
0.46,0.66,0.7725,0.701,0.3845,0.349,0.388,0.352
0.46,0.68,0.768,0.7265,0.382,0.3585,0.386,0.368
0.46,0.7,0.818,0.665,0.407,0.333,0.411,0.332
0.46,0.72,0.801,0.71,0.398,0.35,0.403,0.36
0.46,0.74,0.8075,0.694,0.403,0.356,0.4045,0.338
0.46,0.76,0.828,0.655,0.4145,0.331,0.4135,0.324
0.46,0.78,0.8055,0.7085,0.401,0.3545,0.4045,0.354
0.46,0.8,0.8135,0.681,0.4105,0.34,0.403,0.341
0.46,0.82,0.8145,0.706,0.4065,0.3625,0.408,0.3435
0.46,0.84,0.8495,0.667,0.427,0.337,0.4225,0.33
0.46,0.86,0.8165,0.711,0.4055,0.3465,0.411,0.3645
0.46,0.88,0.8135,0.716,0.4095,0.3475,0.404,0.3685
0.46,0.9,0.84,0.7025,0.4175,0.3535,0.4225,0.349
0.46,0.92,0.81,0.7045,0.411,0.3455,0.399,0.359
0.46,0.94,0.8255,0.7235,0.412,0.358,0.4135,0.3655
0.46,0.96,0.822,0.7175,0.4045,0.359,0.4175,0.3585
0.46,0.98,0.8205,0.696,0.413,0.3475,0.4075,0.3485
0.46,1,0.7995,0.7135,0.4025,0.3505,0.397,0.363
0.48,0.02,0.4195,0.1025,0.261,0.0555,0.1585,0.047
0.48,0.04,0.5175,0.2485,0.296,0.1055,0.2215,0.143
0.48,0.06,0.547,0.29,0.3015,0.1515,0.2455,0.1385
0.48,0.08,0.5925,0.3815,0.3295,0.1915,0.263,0.19
0.48,0.1,0.6015,0.401,0.317,0.2,0.2845,0.201
0.48,0.12,0.639,0.3875,0.336,0.191,0.303,0.1965
0.48,0.14,0.617,0.4715,0.331,0.2415,0.286,0.23
0.48,0.16,0.6535,0.507,0.343,0.257,0.3105,0.25
0.48,0.18,0.68,0.483,0.352,0.246,0.328,0.237
0.48,0.2,0.638,0.5825,0.335,0.2975,0.303,0.285
0.48,0.22,0.7125,0.5385,0.3705,0.284,0.342,0.2545
0.48,0.24,0.737,0.5165,0.3825,0.2605,0.3545,0.256
0.48,0.26,0.706,0.552,0.363,0.279,0.343,0.273
0.48,0.28,0.722,0.563,0.377,0.281,0.345,0.282
0.48,0.3,0.7695,0.6205,0.3905,0.3125,0.379,0.308
0.48,0.32,0.7555,0.611,0.3835,0.312,0.372,0.299
0.48,0.34,0.7385,0.6205,0.3795,0.3085,0.359,0.312
0.48,0.36,0.727,0.621,0.3775,0.313,0.3495,0.308
0.48,0.38,0.7545,0.623,0.38,0.313,0.3745,0.31
0.48,0.4,0.797,0.5715,0.4,0.2855,0.397,0.286
0.48,0.42,0.794,0.583,0.407,0.287,0.387,0.296
0.48,0.44,0.7895,0.6675,0.3915,0.3305,0.398,0.337
0.48,0.46,0.794,0.6545,0.3965,0.326,0.3975,0.3285
0.48,0.48,0.794,0.7065,0.3985,0.349,0.3955,0.3575
0.48,0.5,0.7985,0.6545,0.4,0.332,0.3985,0.3225
0.48,0.52,0.777,0.675,0.394,0.3395,0.383,0.3355
0.48,0.54,0.79,0.6545,0.3985,0.3245,0.3915,0.33
0.48,0.56,0.815,0.644,0.408,0.3225,0.407,0.3215
0.48,0.58,0.81,0.678,0.405,0.3365,0.405,0.3415
0.48,0.6,0.803,0.683,0.406,0.3375,0.397,0.3455
0.48,0.62,0.806,0.6285,0.4105,0.308,0.3955,0.3205
0.48,0.64,0.8145,0.683,0.4085,0.348,0.406,0.335
0.48,0.66,0.8035,0.673,0.402,0.333,0.4015,0.34
0.48,0.68,0.8285,0.671,0.415,0.32,0.4135,0.351
0.48,0.7,0.806,0.6805,0.407,0.33,0.399,0.3505
0.48,0.72,0.819,0.696,0.41,0.348,0.409,0.348
0.48,0.74,0.8055,0.6895,0.415,0.3395,0.3905,0.35
0.48,0.76,0.826,0.643,0.4115,0.321,0.4145,0.322
0.48,0.78,0.807,0.6945,0.406,0.346,0.401,0.3485
0.48,0.8,0.794,0.691,0.4005,0.346,0.3935,0.345
0.48,0.82,0.829,0.663,0.4185,0.3255,0.4105,0.3375
