"alpha","beta_U","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.08,0.42,0.803,0.69,0.4015,0.3525,0.4015,0.3375
0.08,0.44,0.81,0.7015,0.402,0.3575,0.408,0.344
0.08,0.46,0.8075,0.6805,0.406,0.3395,0.4015,0.341
0.08,0.48,0.8245,0.697,0.413,0.3475,0.4115,0.3495
0.08,0.5,0.823,0.7015,0.4095,0.3545,0.4135,0.347
0.08,0.52,0.7885,0.717,0.409,0.357,0.3795,0.36
0.08,0.54,0.811,0.678,0.4045,0.3385,0.4065,0.3395
0.08,0.56,0.838,0.6915,0.4165,0.348,0.4215,0.3435
0.08,0.58,0.8215,0.688,0.417,0.3395,0.4045,0.3485
0.08,0.6,0.8285,0.7065,0.411,0.354,0.4175,0.3525
0.08,0.62,0.822,0.697,0.4125,0.3405,0.4095,0.3565
0.08,0.64,0.806,0.731,0.396,0.3695,0.41,0.3615
0.08,0.66,0.7875,0.714,0.395,0.362,0.3925,0.352
0.08,0.68,0.8235,0.7115,0.4065,0.36,0.417,0.3515
0.08,0.7,0.841,0.692,0.422,0.343,0.419,0.349
0.08,0.72,0.8135,0.71,0.41,0.355,0.4035,0.355
0.08,0.74,0.8425,0.696,0.4245,0.3535,0.418,0.3425
0.08,0.76,0.824,0.713,0.408,0.361,0.416,0.352
0.08,0.78,0.828,0.7145,0.4225,0.3545,0.4055,0.36
0.08,0.8,0.838,0.715,0.418,0.358,0.42,0.357
0.08,0.82,0.822,0.707,0.408,0.358,0.414,0.349
0.08,0.84,0.824,0.707,0.401,0.3585,0.423,0.3485
0.08,0.86,0.838,0.714,0.4195,0.3625,0.4185,0.3515
0.08,0.88,0.8255,0.7195,0.4145,0.358,0.411,0.3615
0.08,0.9,0.8255,0.7045,0.414,0.3505,0.4115,0.354
0.08,0.92,0.833,0.715,0.4115,0.3615,0.4215,0.3535
0.08,0.94,0.827,0.7205,0.4205,0.357,0.4065,0.3635
0.08,0.96,0.8195,0.7275,0.4035,0.3675,0.416,0.36
0.08,0.98,0.8175,0.718,0.4025,0.3685,0.415,0.3495
0.08,1,0.823,0.7215,0.416,0.3535,0.407,0.368
0.1,0.02,0.401,0.1315,0.253,0.067,0.148,0.0645
0.1,0.04,0.4905,0.272,0.2825,0.129,0.208,0.143
0.1,0.06,0.508,0.3115,0.285,0.1515,0.223,0.16
0.1,0.08,0.6195,0.401,0.34,0.191,0.2795,0.21
0.1,0.1,0.6675,0.482,0.3585,0.236,0.309,0.246
0.1,0.12,0.6585,0.455,0.355,0.2275,0.3035,0.2275
0.1,0.14,0.663,0.493,0.3525,0.2475,0.3105,0.2455
0.1,0.16,0.725,0.4805,0.37,0.233,0.355,0.2475
0.1,0.18,0.7135,0.5635,0.366,0.284,0.3475,0.2795
0.1,0.2,0.7485,0.569,0.3825,0.278,0.366,0.291
0.1,0.22,0.781,0.534,0.396,0.274,0.385,0.26
0.1,0.24,0.77,0.6135,0.394,0.314,0.376,0.2995
0.1,0.26,0.7445,0.5875,0.3785,0.2915,0.366,0.296
0.1,0.28,0.757,0.5325,0.385,0.274,0.372,0.2585
0.1,0.3,0.7695,0.631,0.398,0.3245,0.3715,0.3065
0.1,0.32,0.7875,0.641,0.3995,0.32,0.388,0.321
0.1,0.34,0.788,0.637,0.392,0.3155,0.396,0.3215
0.1,0.36,0.792,0.629,0.404,0.3075,0.388,0.3215
0.1,0.38,0.8015,0.6865,0.406,0.3395,0.3955,0.347
0.1,0.4,0.763,0.704,0.3865,0.351,0.3765,0.353
0.1,0.42,0.792,0.6955,0.3935,0.343,0.3985,0.3525
0.1,0.44,0.807,0.679,0.4005,0.3425,0.4065,0.3365
0.1,0.46,0.7415,0.704,0.3705,0.3595,0.371,0.3445
0.1,0.48,0.806,0.688,0.412,0.3435,0.394,0.3445
0.1,0.5,0.8075,0.685,0.401,0.3465,0.4065,0.3385
0.1,0.52,0.8025,0.68,0.3965,0.3375,0.406,0.3425
0.1,0.54,0.815,0.7115,0.416,0.3495,0.399,0.362
0.1,0.56,0.838,0.699,0.421,0.346,0.417,0.353
0.1,0.58,0.7715,0.751,0.3885,0.373,0.383,0.378
0.1,0.6,0.847,0.6725,0.424,0.3255,0.423,0.347
0.1,0.62,0.791,0.7155,0.3925,0.36,0.3985,0.3555
0.1,0.64,0.8225,0.675,0.406,0.34,0.4165,0.335
0.1,0.66,0.8255,0.6805,0.407,0.3405,0.4185,0.34
0.1,0.68,0.8195,0.707,0.4105,0.3585,0.409,0.3485
0.1,0.7,0.816,0.7075,0.4085,0.3505,0.4075,0.357
0.1,0.72,0.8135,0.7145,0.41,0.3515,0.4035,0.363
0.1,0.74,0.84,0.666,0.4185,0.339,0.4215,0.327
0.1,0.76,0.8185,0.703,0.407,0.3525,0.4115,0.3505
0.1,0.78,0.811,0.72,0.4035,0.365,0.4075,0.355
0.1,0.8,0.8265,0.703,0.4095,0.3535,0.417,0.3495
0.1,0.82,0.8265,0.698,0.4045,0.354,0.422,0.344
0.1,0.84,0.8385,0.6915,0.422,0.347,0.4165,0.3445
0.1,0.86,0.8345,0.703,0.419,0.351,0.4155,0.352
0.1,0.88,0.8305,0.7165,0.411,0.365,0.4195,0.3515
0.1,0.9,0.836,0.726,0.411,0.3595,0.425,0.3665
0.1,0.92,0.827,0.705,0.411,0.355,0.416,0.35
0.1,0.94,0.8315,0.7015,0.412,0.353,0.4195,0.3485
0.1,0.96,0.836,0.718,0.4175,0.361,0.4185,0.357
0.1,0.98,0.818,0.71,0.4125,0.3495,0.4055,0.3605
0.1,1,0.8285,0.709,0.416,0.354,0.4125,0.355
0.12,0.02,0.425,0.1265,0.257,0.0625,0.168,0.064
0.12,0.04,0.503,0.231,0.287,0.1135,0.216,0.1175
0.12,0.06,0.6005,0.323,0.3275,0.155,0.273,0.168
0.12,0.08,0.5785,0.3575,0.3215,0.172,0.257,0.1855
0.12,0.1,0.6165,0.44,0.333,0.218,0.2835,0.222
0.12,0.12,0.657,0.4895,0.3485,0.242,0.3085,0.2475
0.12,0.14,0.7005,0.521,0.3615,0.267,0.339,0.254
0.12,0.16,0.7065,0.53,0.365,0.243,0.3415,0.287
0.12,0.18,0.68,0.5555,0.354,0.2765,0.326,0.279
0.12,0.2,0.714,0.5935,0.37,0.2985,0.344,0.295
0.12,0.22,0.6985,0.5945,0.356,0.291,0.3425,0.3035
0.12,0.24,0.7115,0.655,0.3595,0.323,0.352,0.332
0.12,0.26,0.7785,0.66,0.4015,0.3245,0.377,0.3355
0.12,0.28,0.8,0.5725,0.408,0.2905,0.392,0.282
0.12,0.3,0.7695,0.568,0.387,0.29,0.3825,0.278
0.12,0.32,0.789,0.615,0.3965,0.312,0.3925,0.303
0.12,0.34,0.8215,0.591,0.413,0.297,0.4085,0.294
0.12,0.36,0.8055,0.576,0.4015,0.2835,0.404,0.2925
0.12,0.38,0.7925,0.696,0.3985,0.347,0.394,0.349
0.12,0.4,0.7635,0.708,0.392,0.3565,0.3715,0.3515
0.12,0.42,0.7865,0.7025,0.4065,0.359,0.38,0.3435
0.12,0.44,0.784,0.678,0.4005,0.334,0.3835,0.344
0.12,0.46,0.8185,0.615,0.4075,0.298,0.411,0.317
0.12,0.48,0.8065,0.6475,0.4065,0.328,0.4,0.3195
0.12,0.5,0.824,0.655,0.416,0.325,0.408,0.33
0.12,0.52,0.7875,0.7125,0.3945,0.354,0.393,0.3585
0.12,0.54,0.8055,0.719,0.4025,0.353,0.403,0.366
0.12,0.56,0.8145,0.6955,0.404,0.35,0.4105,0.3455
0.12,0.58,0.802,0.713,0.4005,0.3545,0.4015,0.3585
0.12,0.6,0.844,0.6445,0.417,0.3265,0.427,0.318
0.12,0.62,0.798,0.706,0.3965,0.3505,0.4015,0.3555
0.12,0.64,0.7865,0.7185,0.399,0.3575,0.3875,0.361
0.12,0.66,0.8035,0.696,0.4065,0.3455,0.397,0.3505
0.12,0.68,0.829,0.6915,0.4155,0.343,0.4135,0.3485
0.12,0.7,0.8245,0.6975,0.4075,0.3485,0.417,0.349
0.12,0.72,0.8145,0.7345,0.406,0.3635,0.4085,0.371
0.12,0.74,0.8335,0.72,0.4185,0.357,0.415,0.363
0.12,0.76,0.8405,0.705,0.423,0.352,0.4175,0.353
0.12,0.78,0.815,0.699,0.4075,0.356,0.4075,0.343
0.12,0.8,0.8285,0.6955,0.4145,0.351,0.414,0.3445
0.12,0.82,0.835,0.694,0.42,0.3435,0.415,0.3505
0.12,0.84,0.827,0.709,0.42,0.3435,0.407,0.3655
0.12,0.86,0.827,0.7105,0.405,0.3675,0.422,0.343
0.12,0.88,0.837,0.7265,0.416,0.369,0.421,0.3575
0.12,0.9,0.796,0.734,0.392,0.3665,0.404,0.3675
0.12,0.92,0.8225,0.7175,0.4115,0.3615,0.411,0.356
0.12,0.94,0.8245,0.714,0.4115,0.3595,0.413,0.3545
0.12,0.96,0.8295,0.697,0.4175,0.344,0.412,0.353
0.12,0.98,0.816,0.7005,0.4075,0.358,0.4085,0.3425
0.12,1,0.8325,0.7185,0.416,0.3535,0.4165,0.365
0.14,0.02,0.4425,0.1395,0.2705,0.0735,0.172,0.066
0.14,0.04,0.5095,0.278,0.2895,0.1375,0.22,0.1405
0.14,0.06,0.5645,0.332,0.3275,0.1585,0.237,0.1735
0.14,0.08,0.565,0.3925,0.3105,0.1945,0.2545,0.198
0.14,0.1,0.6725,0.4535,0.351,0.221,0.3215,0.2325
0.14,0.12,0.6505,0.4415,0.344,0.2275,0.3065,0.214
0.14,0.14,0.691,0.4125,0.3635,0.208,0.3275,0.2045
0.14,0.16,0.692,0.5255,0.374,0.254,0.318,0.2715
0.14,0.18,0.7245,0.56,0.374,0.279,0.3505,0.281
0.14,0.2,0.7455,0.5575,0.3855,0.287,0.36,0.2705
0.14,0.22,0.7745,0.571,0.3975,0.287,0.377,0.284
0.14,0.24,0.7735,0.6065,0.4045,0.3055,0.369,0.301
0.14,0.26,0.745,0.566,0.379,0.2875,0.366,0.2785
0.14,0.28,0.756,0.6105,0.389,0.3055,0.367,0.305
0.14,0.3,0.7825,0.592,0.3995,0.3015,0.383,0.2905
0.14,0.32,0.806,0.667,0.402,0.327,0.404,0.34
0.14,0.34,0.784,0.6405,0.3995,0.3155,0.3845,0.325
0.14,0.36,0.7935,0.637,0.4085,0.316,0.385,0.321
0.14,0.38,0.8065,0.6695,0.4035,0.337,0.403,0.3325
0.14,0.4,0.759,0.7055,0.3815,0.358,0.3775,0.3475
0.14,0.42,0.8145,0.62,0.4105,0.3275,0.404,0.2925
0.14,0.44,0.8205,0.667,0.425,0.3255,0.3955,0.3415
0.14,0.46,0.8055,0.6855,0.412,0.3425,0.3935,0.343
0.14,0.48,0.7755,0.714,0.393,0.352,0.3825,0.362
0.14,0.5,0.8085,0.685,0.407,0.343,0.4015,0.342
0.14,0.52,0.817,0.6775,0.4095,0.325,0.4075,0.3525
0.14,0.54,0.813,0.69,0.403,0.346,0.41,0.344
0.14,0.56,0.806,0.724,0.3905,0.372,0.4155,0.352
0.14,0.58,0.8265,0.67,0.412,0.329,0.4145,0.341
0.14,0.6,0.8175,0.679,0.404,0.35,0.4135,0.329
