"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.12,0.69,0.661,0.475,0.081,0.051,0.58,0.424
0.12,0.7,0.656,0.497,0.073,0.056,0.583,0.441
0.12,0.71,0.631,0.466,0.084,0.062,0.547,0.404
0.12,0.72,0.638,0.492,0.077,0.057,0.561,0.435
0.12,0.73,0.622,0.462,0.073,0.053,0.549,0.409
0.12,0.74,0.657,0.472,0.083,0.049,0.574,0.423
0.12,0.75,0.677,0.469,0.084,0.061,0.593,0.408
0.12,0.76,0.654,0.495,0.071,0.051,0.583,0.444
0.12,0.77,0.666,0.499,0.081,0.05,0.585,0.449
0.12,0.78,0.647,0.487,0.08,0.052,0.567,0.435
0.12,0.79,0.675,0.47,0.09,0.054,0.585,0.416
0.12,0.8,0.664,0.497,0.087,0.06,0.577,0.437
0.12,0.81,0.66,0.483,0.085,0.049,0.575,0.434
0.12,0.82,0.632,0.509,0.085,0.055,0.547,0.454
0.12,0.83,0.654,0.494,0.082,0.055,0.572,0.439
0.12,0.84,0.665,0.502,0.086,0.061,0.579,0.441
0.12,0.85,0.651,0.477,0.084,0.055,0.567,0.422
0.12,0.86,0.659,0.515,0.084,0.054,0.575,0.461
0.12,0.87,0.64,0.48,0.089,0.05,0.551,0.43
0.12,0.88,0.635,0.49,0.089,0.053,0.546,0.437
0.12,0.89,0.636,0.502,0.082,0.054,0.554,0.448
0.12,0.9,0.619,0.451,0.079,0.05,0.54,0.401
0.12,0.91,0.602,0.496,0.081,0.051,0.521,0.445
0.12,0.92,0.626,0.516,0.082,0.062,0.544,0.454
0.12,0.93,0.606,0.502,0.074,0.061,0.532,0.441
0.12,0.94,0.639,0.548,0.084,0.061,0.555,0.487
0.12,0.95,0.631,0.504,0.083,0.052,0.548,0.452
0.12,0.96,0.642,0.47,0.09,0.057,0.552,0.413
0.12,0.97,0.626,0.483,0.087,0.06,0.539,0.423
0.12,0.98,0.618,0.484,0.086,0.053,0.532,0.431
0.12,0.99,0.64,0.479,0.083,0.044,0.557,0.435
0.14,0.5,0.686,0.504,0.103,0.08,0.583,0.424
0.14,0.51,0.652,0.46,0.108,0.08,0.544,0.38
0.14,0.52,0.704,0.46,0.11,0.071,0.594,0.389
0.14,0.53,0.681,0.489,0.113,0.073,0.568,0.416
0.14,0.54,0.679,0.442,0.106,0.065,0.573,0.377
0.14,0.55,0.663,0.469,0.104,0.069,0.559,0.4
0.14,0.56,0.686,0.462,0.11,0.069,0.576,0.393
0.14,0.57,0.681,0.484,0.108,0.07,0.573,0.414
0.14,0.58,0.697,0.488,0.115,0.081,0.582,0.407
0.14,0.59,0.706,0.492,0.109,0.073,0.597,0.419
0.14,0.6,0.661,0.5,0.112,0.076,0.549,0.424
0.14,0.61,0.666,0.477,0.115,0.078,0.551,0.399
0.14,0.62,0.679,0.466,0.12,0.072,0.559,0.394
0.14,0.63,0.711,0.518,0.114,0.073,0.597,0.445
0.14,0.64,0.68,0.491,0.107,0.086,0.573,0.405
0.14,0.65,0.699,0.508,0.121,0.08,0.578,0.428
0.14,0.66,0.668,0.494,0.116,0.079,0.552,0.415
0.14,0.67,0.664,0.493,0.098,0.068,0.566,0.425
0.14,0.68,0.662,0.477,0.11,0.074,0.552,0.403
0.14,0.69,0.665,0.489,0.116,0.077,0.549,0.412
0.14,0.7,0.685,0.524,0.121,0.079,0.564,0.445
0.14,0.71,0.647,0.461,0.111,0.073,0.536,0.388
0.14,0.72,0.674,0.487,0.115,0.077,0.559,0.41
0.14,0.73,0.657,0.459,0.119,0.069,0.538,0.39
0.14,0.74,0.654,0.471,0.103,0.071,0.551,0.4
0.14,0.75,0.649,0.524,0.106,0.08,0.543,0.444
0.14,0.76,0.636,0.485,0.103,0.09,0.533,0.395
0.14,0.77,0.66,0.49,0.102,0.075,0.558,0.415
0.14,0.78,0.643,0.456,0.109,0.066,0.534,0.39
0.14,0.79,0.655,0.511,0.115,0.076,0.54,0.435
0.14,0.8,0.664,0.494,0.104,0.067,0.56,0.427
0.14,0.81,0.679,0.507,0.112,0.079,0.567,0.428
0.14,0.82,0.647,0.469,0.112,0.081,0.535,0.388
0.14,0.83,0.676,0.472,0.113,0.076,0.563,0.396
0.14,0.84,0.634,0.494,0.111,0.074,0.523,0.42
0.14,0.85,0.614,0.445,0.11,0.076,0.504,0.369
0.14,0.86,0.662,0.507,0.107,0.08,0.555,0.427
0.14,0.87,0.664,0.464,0.112,0.075,0.552,0.389
0.14,0.88,0.625,0.509,0.117,0.079,0.508,0.43
0.14,0.89,0.663,0.529,0.121,0.09,0.542,0.439
0.14,0.9,0.64,0.512,0.118,0.088,0.522,0.424
0.14,0.91,0.625,0.495,0.107,0.073,0.518,0.422
0.14,0.92,0.626,0.515,0.118,0.073,0.508,0.442
0.14,0.93,0.62,0.486,0.114,0.086,0.506,0.4
0.14,0.94,0.626,0.523,0.117,0.076,0.509,0.447
0.14,0.95,0.619,0.496,0.108,0.076,0.511,0.42
0.14,0.96,0.644,0.472,0.104,0.072,0.54,0.4
0.14,0.97,0.641,0.496,0.12,0.075,0.521,0.421
0.14,0.98,0.605,0.45,0.117,0.068,0.488,0.382
0.14,0.99,0.625,0.516,0.112,0.072,0.513,0.444
0.16,0.5,0.665,0.459,0.109,0.081,0.556,0.378
0.16,0.51,0.674,0.516,0.113,0.085,0.561,0.431
0.16,0.52,0.705,0.47,0.12,0.071,0.585,0.399
0.16,0.53,0.682,0.482,0.107,0.071,0.575,0.411
0.16,0.54,0.679,0.499,0.109,0.084,0.57,0.415
0.16,0.55,0.683,0.485,0.111,0.085,0.572,0.4
0.16,0.56,0.638,0.507,0.099,0.077,0.539,0.43
0.16,0.57,0.668,0.46,0.105,0.08,0.563,0.38
0.16,0.58,0.703,0.522,0.106,0.074,0.597,0.448
0.16,0.59,0.705,0.485,0.121,0.081,0.584,0.404
0.16,0.6,0.664,0.476,0.109,0.075,0.555,0.401
0.16,0.61,0.67,0.475,0.111,0.072,0.559,0.403
0.16,0.62,0.675,0.48,0.114,0.076,0.561,0.404
0.16,0.63,0.666,0.523,0.114,0.079,0.552,0.444
0.16,0.64,0.658,0.449,0.109,0.073,0.549,0.376
0.16,0.65,0.673,0.483,0.111,0.08,0.562,0.403
0.16,0.66,0.658,0.494,0.114,0.081,0.544,0.413
0.16,0.67,0.708,0.506,0.113,0.084,0.595,0.422
0.16,0.68,0.651,0.458,0.109,0.076,0.542,0.382
