"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.36,0.67,0.69,0.523,0.249,0.191,0.441,0.332
0.36,0.68,0.684,0.502,0.25,0.186,0.434,0.316
0.36,0.69,0.687,0.481,0.256,0.17,0.431,0.311
0.36,0.7,0.668,0.477,0.237,0.179,0.431,0.298
0.36,0.71,0.649,0.455,0.245,0.159,0.404,0.296
0.36,0.72,0.673,0.501,0.252,0.183,0.421,0.318
0.36,0.73,0.656,0.475,0.251,0.168,0.405,0.307
0.36,0.74,0.65,0.507,0.236,0.168,0.414,0.339
0.36,0.75,0.672,0.44,0.252,0.155,0.42,0.285
0.36,0.76,0.633,0.441,0.254,0.158,0.379,0.283
0.36,0.77,0.683,0.481,0.261,0.178,0.422,0.303
0.36,0.78,0.701,0.486,0.261,0.171,0.44,0.315
0.36,0.79,0.678,0.482,0.259,0.166,0.419,0.316
0.36,0.8,0.67,0.508,0.253,0.177,0.417,0.331
0.36,0.81,0.644,0.456,0.247,0.147,0.397,0.309
0.36,0.82,0.65,0.485,0.259,0.172,0.391,0.313
0.36,0.83,0.665,0.487,0.264,0.169,0.401,0.318
0.36,0.84,0.657,0.482,0.248,0.167,0.409,0.315
0.36,0.85,0.656,0.489,0.262,0.176,0.394,0.313
0.36,0.86,0.676,0.467,0.262,0.167,0.414,0.3
0.36,0.87,0.649,0.5,0.259,0.178,0.39,0.322
0.36,0.88,0.678,0.479,0.258,0.163,0.42,0.316
0.36,0.89,0.638,0.483,0.254,0.166,0.384,0.317
0.36,0.9,0.686,0.478,0.275,0.155,0.411,0.323
0.36,0.91,0.645,0.494,0.253,0.18,0.392,0.314
0.36,0.92,0.634,0.505,0.249,0.18,0.385,0.325
0.36,0.93,0.654,0.511,0.263,0.182,0.391,0.329
0.36,0.94,0.684,0.473,0.268,0.167,0.416,0.306
0.36,0.95,0.646,0.529,0.259,0.166,0.387,0.363
0.36,0.96,0.643,0.49,0.254,0.171,0.389,0.319
0.36,0.97,0.675,0.498,0.268,0.176,0.407,0.322
0.36,0.98,0.655,0.528,0.26,0.177,0.395,0.351
0.36,0.99,0.644,0.488,0.255,0.167,0.389,0.321
0.38,0.5,0.671,0.516,0.258,0.203,0.413,0.313
0.38,0.51,0.678,0.501,0.265,0.184,0.413,0.317
0.38,0.52,0.683,0.473,0.267,0.181,0.416,0.292
0.38,0.53,0.71,0.473,0.269,0.18,0.441,0.293
0.38,0.54,0.692,0.467,0.259,0.18,0.433,0.287
0.38,0.55,0.664,0.464,0.254,0.185,0.41,0.279
0.38,0.56,0.663,0.479,0.267,0.178,0.396,0.301
0.38,0.57,0.694,0.467,0.26,0.182,0.434,0.285
0.38,0.58,0.654,0.475,0.263,0.165,0.391,0.31
0.38,0.59,0.644,0.466,0.242,0.175,0.402,0.291
0.38,0.6,0.675,0.481,0.255,0.182,0.42,0.299
0.38,0.61,0.692,0.489,0.269,0.187,0.423,0.302
0.38,0.62,0.649,0.436,0.251,0.17,0.398,0.266
0.38,0.63,0.683,0.449,0.272,0.18,0.411,0.269
0.38,0.64,0.651,0.505,0.263,0.192,0.388,0.313
0.38,0.65,0.666,0.472,0.256,0.172,0.41,0.3
0.38,0.66,0.666,0.487,0.27,0.175,0.396,0.312
0.38,0.67,0.699,0.498,0.274,0.193,0.425,0.305
0.38,0.68,0.672,0.486,0.262,0.177,0.41,0.309
0.38,0.69,0.659,0.482,0.264,0.187,0.395,0.295
0.38,0.7,0.673,0.467,0.268,0.186,0.405,0.281
0.38,0.71,0.701,0.525,0.267,0.206,0.434,0.319
0.38,0.72,0.648,0.496,0.262,0.191,0.386,0.305
0.38,0.73,0.702,0.481,0.28,0.181,0.422,0.3
0.38,0.74,0.695,0.517,0.271,0.189,0.424,0.328
0.38,0.75,0.66,0.503,0.272,0.201,0.388,0.302
0.38,0.76,0.691,0.482,0.269,0.186,0.422,0.296
0.38,0.77,0.683,0.516,0.268,0.203,0.415,0.313
0.38,0.78,0.662,0.46,0.267,0.181,0.395,0.279
0.38,0.79,0.709,0.512,0.292,0.197,0.417,0.315
0.38,0.8,0.705,0.472,0.284,0.173,0.421,0.299
0.38,0.81,0.689,0.498,0.273,0.18,0.416,0.318
0.38,0.82,0.69,0.518,0.279,0.196,0.411,0.322
0.38,0.83,0.65,0.495,0.261,0.178,0.389,0.317
0.38,0.84,0.677,0.483,0.262,0.18,0.415,0.303
0.38,0.85,0.681,0.489,0.277,0.183,0.404,0.306
0.38,0.86,0.627,0.494,0.265,0.179,0.362,0.315
0.38,0.87,0.668,0.473,0.268,0.172,0.4,0.301
0.38,0.88,0.657,0.461,0.283,0.18,0.374,0.281
0.38,0.89,0.647,0.508,0.275,0.205,0.372,0.303
0.38,0.9,0.712,0.497,0.29,0.19,0.422,0.307
0.38,0.91,0.668,0.456,0.279,0.166,0.389,0.29
0.38,0.92,0.639,0.537,0.278,0.209,0.361,0.328
0.38,0.93,0.673,0.468,0.283,0.189,0.39,0.279
0.38,0.94,0.675,0.477,0.275,0.168,0.4,0.309
0.38,0.95,0.662,0.475,0.274,0.185,0.388,0.29
0.38,0.96,0.662,0.476,0.28,0.163,0.382,0.313
0.38,0.97,0.674,0.488,0.286,0.169,0.388,0.319
0.38,0.98,0.656,0.494,0.272,0.192,0.384,0.302
0.38,0.99,0.614,0.519,0.247,0.194,0.367,0.325
0.4,0.5,0.676,0.5,0.281,0.186,0.395,0.314
0.4,0.51,0.675,0.496,0.28,0.205,0.395,0.291
0.4,0.52,0.694,0.499,0.285,0.204,0.409,0.295
0.4,0.53,0.677,0.508,0.271,0.197,0.406,0.311
0.4,0.54,0.673,0.475,0.278,0.196,0.395,0.279
0.4,0.55,0.685,0.478,0.279,0.2,0.406,0.278
0.4,0.56,0.678,0.52,0.278,0.197,0.4,0.323
0.4,0.57,0.693,0.421,0.271,0.176,0.422,0.245
0.4,0.58,0.731,0.486,0.296,0.212,0.435,0.274
0.4,0.59,0.675,0.462,0.273,0.19,0.402,0.272
0.4,0.6,0.684,0.491,0.278,0.193,0.406,0.298
0.4,0.61,0.696,0.461,0.287,0.186,0.409,0.275
0.4,0.62,0.679,0.492,0.279,0.2,0.4,0.292
0.4,0.63,0.683,0.489,0.264,0.192,0.419,0.297
0.4,0.64,0.674,0.483,0.277,0.186,0.397,0.297
0.4,0.65,0.674,0.497,0.27,0.194,0.404,0.303
0.4,0.66,0.644,0.457,0.267,0.172,0.377,0.285
0.4,0.67,0.659,0.47,0.281,0.187,0.378,0.283
0.4,0.68,0.647,0.486,0.267,0.197,0.38,0.289
0.4,0.69,0.683,0.502,0.287,0.191,0.396,0.311
0.4,0.7,0.676,0.489,0.274,0.198,0.402,0.291
0.4,0.71,0.689,0.467,0.281,0.168,0.408,0.299
0.4,0.72,0.685,0.491,0.302,0.205,0.383,0.286
0.4,0.73,0.656,0.509,0.27,0.215,0.386,0.294
0.4,0.74,0.687,0.495,0.284,0.21,0.403,0.285
0.4,0.75,0.67,0.479,0.285,0.193,0.385,0.286
0.4,0.76,0.671,0.475,0.274,0.184,0.397,0.291
0.4,0.77,0.658,0.496,0.267,0.198,0.391,0.298
0.4,0.78,0.66,0.487,0.276,0.179,0.384,0.308
0.4,0.79,0.655,0.504,0.28,0.201,0.375,0.303
0.4,0.8,0.669,0.498,0.285,0.196,0.384,0.302
0.4,0.81,0.706,0.472,0.288,0.18,0.418,0.292
0.4,0.82,0.666,0.538,0.301,0.219,0.365,0.319
0.4,0.83,0.673,0.487,0.287,0.198,0.386,0.289
0.4,0.84,0.679,0.492,0.289,0.194,0.39,0.298
0.4,0.85,0.636,0.454,0.278,0.18,0.358,0.274
0.4,0.86,0.668,0.478,0.292,0.189,0.376,0.289
0.4,0.87,0.7,0.502,0.308,0.2,0.392,0.302
0.4,0.88,0.68,0.488,0.296,0.197,0.384,0.291
0.4,0.89,0.67,0.462,0.287,0.174,0.383,0.288
0.4,0.9,0.662,0.482,0.29,0.17,0.372,0.312
0.4,0.91,0.63,0.462,0.275,0.191,0.355,0.271
0.4,0.92,0.631,0.482,0.278,0.192,0.353,0.29
0.4,0.93,0.679,0.459,0.3,0.174,0.379,0.285
0.4,0.94,0.674,0.491,0.296,0.194,0.378,0.297
0.4,0.95,0.659,0.467,0.276,0.183,0.383,0.284
0.4,0.96,0.651,0.485,0.287,0.196,0.364,0.289
0.4,0.97,0.64,0.493,0.28,0.187,0.36,0.306
0.4,0.98,0.665,0.503,0.285,0.208,0.38,0.295
0.4,0.99,0.667,0.5,0.293,0.214,0.374,0.286
0.42,0.5,0.642,0.477,0.255,0.192,0.387,0.285
0.42,0.51,0.697,0.495,0.281,0.217,0.416,0.278
0.42,0.52,0.667,0.479,0.282,0.197,0.385,0.282
0.42,0.53,0.68,0.462,0.297,0.203,0.383,0.259
0.42,0.54,0.691,0.479,0.283,0.212,0.408,0.267
0.42,0.55,0.687,0.479,0.296,0.199,0.391,0.28
0.42,0.56,0.675,0.502,0.28,0.219,0.395,0.283
0.42,0.57,0.709,0.495,0.3,0.215,0.409,0.28
0.42,0.58,0.662,0.497,0.278,0.191,0.384,0.306
0.42,0.59,0.711,0.51,0.304,0.206,0.407,0.304
0.42,0.6,0.677,0.48,0.294,0.201,0.383,0.279
0.42,0.61,0.657,0.476,0.267,0.189,0.39,0.287
0.42,0.62,0.657,0.474,0.271,0.183,0.386,0.291
0.42,0.63,0.71,0.463,0.292,0.188,0.418,0.275
0.42,0.64,0.714,0.457,0.296,0.192,0.418,0.265
0.42,0.65,0.692,0.478,0.3,0.208,0.392,0.27
0.42,0.66,0.684,0.462,0.285,0.184,0.399,0.278
0.42,0.67,0.642,0.499,0.273,0.192,0.369,0.307
0.42,0.68,0.675,0.483,0.289,0.19,0.386,0.293
0.42,0.69,0.701,0.501,0.294,0.209,0.407,0.292
0.42,0.7,0.697,0.497,0.3,0.202,0.397,0.295
0.42,0.71,0.7,0.471,0.307,0.205,0.393,0.266
0.42,0.72,0.644,0.51,0.281,0.198,0.363,0.312
0.42,0.73,0.687,0.482,0.286,0.19,0.401,0.292
0.42,0.74,0.654,0.471,0.278,0.195,0.376,0.276
0.42,0.75,0.671,0.484,0.281,0.183,0.39,0.301
0.42,0.76,0.701,0.478,0.305,0.198,0.396,0.28
0.42,0.77,0.657,0.474,0.285,0.192,0.372,0.282
0.42,0.78,0.672,0.438,0.293,0.176,0.379,0.262
0.42,0.79,0.675,0.521,0.294,0.229,0.381,0.292
0.42,0.8,0.629,0.51,0.286,0.214,0.343,0.296
0.42,0.81,0.666,0.474,0.296,0.194,0.37,0.28
0.42,0.82,0.664,0.5,0.286,0.194,0.378,0.306
0.42,0.83,0.679,0.468,0.304,0.193,0.375,0.275
0.42,0.84,0.649,0.452,0.286,0.187,0.363,0.265
0.42,0.85,0.669,0.448,0.303,0.179,0.366,0.269
0.42,0.86,0.672,0.487,0.297,0.197,0.375,0.29
0.42,0.87,0.657,0.473,0.295,0.197,0.362,0.276
0.42,0.88,0.68,0.498,0.301,0.202,0.379,0.296
0.42,0.89,0.675,0.503,0.293,0.206,0.382,0.297
0.42,0.9,0.687,0.541,0.303,0.223,0.384,0.318
0.42,0.91,0.663,0.473,0.294,0.178,0.369,0.295
0.42,0.92,0.615,0.493,0.275,0.207,0.34,0.286
0.42,0.93,0.624,0.483,0.29,0.197,0.334,0.286
0.42,0.94,0.668,0.527,0.292,0.201,0.376,0.326
0.42,0.95,0.641,0.488,0.289,0.173,0.352,0.315
0.42,0.96,0.675,0.479,0.297,0.188,0.378,0.291
0.42,0.97,0.683,0.476,0.31,0.216,0.373,0.26
0.42,0.98,0.67,0.477,0.307,0.19,0.363,0.287
0.42,0.99,0.67,0.515,0.304,0.211,0.366,0.304
0.44,0.5,0.684,0.479,0.29,0.201,0.394,0.278
0.44,0.51,0.683,0.473,0.3,0.209,0.383,0.264
0.44,0.52,0.684,0.481,0.285,0.194,0.399,0.287
0.44,0.53,0.693,0.466,0.302,0.202,0.391,0.264
0.44,0.54,0.698,0.477,0.299,0.201,0.399,0.276
0.44,0.55,0.664,0.489,0.296,0.231,0.368,0.258
0.44,0.56,0.683,0.481,0.291,0.214,0.392,0.267
0.44,0.57,0.686,0.472,0.31,0.205,0.376,0.267
0.44,0.58,0.656,0.456,0.286,0.199,0.37,0.257
0.44,0.59,0.691,0.473,0.309,0.203,0.382,0.27
0.44,0.6,0.666,0.495,0.29,0.218,0.376,0.277
0.44,0.61,0.683,0.502,0.301,0.223,0.382,0.279
0.44,0.62,0.698,0.5,0.318,0.224,0.38,0.276
0.44,0.63,0.653,0.478,0.287,0.209,0.366,0.269
0.44,0.64,0.669,0.471,0.297,0.194,0.372,0.277
0.44,0.65,0.665,0.483,0.303,0.215,0.362,0.268
0.44,0.66,0.642,0.457,0.282,0.204,0.36,0.253
0.44,0.67,0.67,0.437,0.301,0.187,0.369,0.25
0.44,0.68,0.692,0.507,0.314,0.224,0.378,0.283
0.44,0.69,0.657,0.459,0.294,0.196,0.363,0.263
0.44,0.7,0.674,0.479,0.298,0.201,0.376,0.278
0.44,0.71,0.665,0.483,0.289,0.204,0.376,0.279
0.44,0.72,0.672,0.48,0.305,0.193,0.367,0.287
0.44,0.73,0.644,0.476,0.287,0.202,0.357,0.274
0.44,0.74,0.643,0.458,0.301,0.192,0.342,0.266
0.44,0.75,0.663,0.452,0.294,0.185,0.369,0.267
0.44,0.76,0.639,0.478,0.295,0.219,0.344,0.259
0.44,0.77,0.656,0.479,0.299,0.225,0.357,0.254
0.44,0.78,0.672,0.502,0.306,0.21,0.366,0.292
0.44,0.79,0.667,0.512,0.303,0.224,0.364,0.288
0.44,0.8,0.671,0.474,0.322,0.196,0.349,0.278
0.44,0.81,0.7,0.495,0.325,0.217,0.375,0.278
0.44,0.82,0.667,0.505,0.298,0.207,0.369,0.298
0.44,0.83,0.669,0.451,0.315,0.19,0.354,0.261
0.44,0.84,0.683,0.53,0.316,0.234,0.367,0.296
0.44,0.85,0.691,0.531,0.317,0.226,0.374,0.305
0.44,0.86,0.651,0.517,0.304,0.221,0.347,0.296
0.44,0.87,0.666,0.504,0.314,0.21,0.352,0.294
0.44,0.88,0.672,0.489,0.314,0.209,0.358,0.28
0.44,0.89,0.651,0.525,0.318,0.231,0.333,0.294
0.44,0.9,0.656,0.478,0.302,0.211,0.354,0.267
0.44,0.91,0.672,0.477,0.302,0.191,0.37,0.286
0.44,0.92,0.633,0.51,0.299,0.22,0.334,0.29
0.44,0.93,0.628,0.514,0.297,0.229,0.331,0.285
0.44,0.94,0.664,0.507,0.317,0.214,0.347,0.293
0.44,0.95,0.673,0.446,0.322,0.184,0.351,0.262
0.44,0.96,0.665,0.485,0.309,0.198,0.356,0.287
0.44,0.97,0.639,0.463,0.304,0.193,0.335,0.27
0.44,0.98,0.638,0.495,0.304,0.215,0.334,0.28
0.44,0.99,0.697,0.518,0.324,0.216,0.373,0.302
0.46,0.5,0.678,0.501,0.31,0.227,0.368,0.274
0.46,0.51,0.683,0.487,0.328,0.223,0.355,0.264
0.46,0.52,0.694,0.481,0.324,0.233,0.37,0.248
0.46,0.53,0.661,0.469,0.291,0.216,0.37,0.253
0.46,0.54,0.674,0.48,0.318,0.217,0.356,0.263
0.46,0.55,0.672,0.475,0.302,0.213,0.37,0.262
0.46,0.56,0.693,0.529,0.325,0.233,0.368,0.296
0.46,0.57,0.673,0.529,0.313,0.253,0.36,0.276
0.46,0.58,0.651,0.506,0.304,0.228,0.347,0.278
0.46,0.59,0.682,0.48,0.313,0.209,0.369,0.271
0.46,0.6,0.713,0.475,0.316,0.219,0.397,0.256
0.46,0.61,0.668,0.45,0.319,0.201,0.349,0.249
0.46,0.62,0.689,0.48,0.316,0.21,0.373,0.27
0.46,0.63,0.669,0.485,0.313,0.221,0.356,0.264
0.46,0.64,0.696,0.521,0.324,0.237,0.372,0.284
0.46,0.65,0.702,0.473,0.331,0.227,0.371,0.246
0.46,0.66,0.676,0.462,0.313,0.206,0.363,0.256
0.46,0.67,0.67,0.447,0.313,0.188,0.357,0.259
0.46,0.68,0.662,0.52,0.324,0.248,0.338,0.272
0.46,0.69,0.683,0.495,0.33,0.233,0.353,0.262
0.46,0.7,0.69,0.488,0.319,0.219,0.371,0.269
0.46,0.71,0.686,0.471,0.326,0.207,0.36,0.264
0.46,0.72,0.648,0.467,0.313,0.215,0.335,0.252
0.46,0.73,0.687,0.495,0.352,0.229,0.335,0.266
0.46,0.74,0.69,0.524,0.341,0.248,0.349,0.276
0.46,0.75,0.702,0.488,0.323,0.218,0.379,0.27
0.46,0.76,0.69,0.487,0.331,0.224,0.359,0.263
0.46,0.77,0.64,0.45,0.309,0.219,0.331,0.231
0.46,0.78,0.645,0.478,0.305,0.224,0.34,0.254
0.46,0.79,0.658,0.474,0.309,0.216,0.349,0.258
0.46,0.8,0.67,0.45,0.33,0.21,0.34,0.24
0.46,0.81,0.678,0.485,0.324,0.218,0.354,0.267
0.46,0.82,0.672,0.514,0.32,0.229,0.352,0.285
0.46,0.83,0.692,0.471,0.339,0.224,0.353,0.247
0.46,0.84,0.665,0.53,0.332,0.239,0.333,0.291
0.46,0.85,0.679,0.496,0.335,0.228,0.344,0.268
0.46,0.86,0.635,0.454,0.312,0.217,0.323,0.237
0.46,0.87,0.634,0.468,0.313,0.203,0.321,0.265
0.46,0.88,0.691,0.496,0.34,0.217,0.351,0.279
0.46,0.89,0.662,0.505,0.318,0.223,0.344,0.282
0.46,0.9,0.657,0.492,0.313,0.221,0.344,0.271
0.46,0.91,0.686,0.473,0.34,0.207,0.346,0.266
0.46,0.92,0.648,0.466,0.319,0.203,0.329,0.263
0.46,0.93,0.64,0.523,0.319,0.245,0.321,0.278
0.46,0.94,0.659,0.481,0.33,0.219,0.329,0.262
0.46,0.95,0.675,0.498,0.33,0.233,0.345,0.265
0.46,0.96,0.652,0.482,0.329,0.222,0.323,0.26
0.46,0.97,0.679,0.529,0.325,0.242,0.354,0.287
0.46,0.98,0.681,0.479,0.343,0.212,0.338,0.267
0.46,0.99,0.675,0.496,0.334,0.22,0.341,0.276
0.48,0.5,0.702,0.505,0.329,0.24,0.373,0.265
0.48,0.51,0.681,0.496,0.328,0.24,0.353,0.256
0.48,0.52,0.685,0.48,0.321,0.226,0.364,0.254
0.48,0.53,0.639,0.446,0.307,0.215,0.332,0.231
0.48,0.54,0.666,0.507,0.323,0.229,0.343,0.278
0.48,0.55,0.68,0.505,0.322,0.241,0.358,0.264
0.48,0.56,0.665,0.485,0.321,0.224,0.344,0.261
0.48,0.57,0.69,0.498,0.348,0.232,0.342,0.266
0.48,0.58,0.671,0.511,0.322,0.252,0.349,0.259
0.48,0.59,0.702,0.464,0.335,0.22,0.367,0.244
0.48,0.6,0.714,0.503,0.359,0.253,0.355,0.25
0.48,0.61,0.691,0.466,0.334,0.221,0.357,0.245
0.48,0.62,0.676,0.489,0.328,0.232,0.348,0.257
0.48,0.63,0.651,0.481,0.329,0.233,0.322,0.248
0.48,0.64,0.667,0.455,0.316,0.209,0.351,0.246
0.48,0.65,0.675,0.459,0.328,0.21,0.347,0.249
0.48,0.66,0.691,0.509,0.343,0.249,0.348,0.26
0.48,0.67,0.666,0.469,0.329,0.224,0.337,0.245
0.48,0.68,0.682,0.492,0.343,0.241,0.339,0.251
0.48,0.69,0.68,0.466,0.346,0.232,0.334,0.234
0.48,0.7,0.699,0.504,0.35,0.248,0.349,0.256
0.48,0.71,0.642,0.488,0.312,0.226,0.33,0.262
0.48,0.72,0.701,0.502,0.347,0.232,0.354,0.27
0.48,0.73,0.699,0.506,0.349,0.239,0.35,0.267
0.48,0.74,0.685,0.473,0.342,0.238,0.343,0.235
0.48,0.75,0.692,0.481,0.356,0.24,0.336,0.241
0.48,0.76,0.683,0.528,0.341,0.242,0.342,0.286
0.48,0.77,0.664,0.498,0.326,0.234,0.338,0.264
0.48,0.78,0.671,0.51,0.338,0.241,0.333,0.269
0.48,0.79,0.684,0.498,0.339,0.234,0.345,0.264
0.48,0.8,0.652,0.49,0.326,0.239,0.326,0.251
0.48,0.81,0.684,0.475,0.336,0.228,0.348,0.247
0.48,0.82,0.68,0.503,0.348,0.249,0.332,0.254
0.48,0.83,0.681,0.475,0.354,0.241,0.327,0.234
0.48,0.84,0.64,0.485,0.323,0.227,0.317,0.258
0.48,0.85,0.639,0.515,0.326,0.241,0.313,0.274
0.48,0.86,0.708,0.497,0.362,0.232,0.346,0.265
0.48,0.87,0.708,0.518,0.372,0.25,0.336,0.268
0.48,0.88,0.682,0.474,0.344,0.227,0.338,0.247
0.48,0.89,0.696,0.479,0.348,0.225,0.348,0.254
0.48,0.9,0.667,0.465,0.342,0.219,0.325,0.246
0.48,0.91,0.696,0.483,0.366,0.225,0.33,0.258
0.48,0.92,0.701,0.473,0.351,0.222,0.35,0.251
0.48,0.93,0.671,0.511,0.346,0.231,0.325,0.28
0.48,0.94,0.669,0.51,0.342,0.26,0.327,0.25
0.48,0.95,0.685,0.519,0.351,0.248,0.334,0.271
0.48,0.96,0.658,0.483,0.338,0.231,0.32,0.252
0.48,0.97,0.644,0.483,0.336,0.246,0.308,0.237
0.48,0.98,0.684,0.495,0.347,0.226,0.337,0.269
0.48,0.99,0.648,0.477,0.356,0.225,0.292,0.252
0.5,0.5,0.64,0.438,0.326,0.223,0.314,0.215
0.5,0.51,0.701,0.456,0.334,0.224,0.367,0.232
0.5,0.52,0.679,0.534,0.336,0.263,0.343,0.271
0.5,0.53,0.68,0.444,0.346,0.226,0.334,0.218
0.5,0.54,0.665,0.484,0.331,0.253,0.334,0.231
0.5,0.55,0.693,0.436,0.353,0.223,0.34,0.213
0.5,0.56,0.694,0.471,0.35,0.232,0.344,0.239
0.5,0.57,0.665,0.46,0.339,0.233,0.326,0.227
0.5,0.58,0.705,0.476,0.366,0.231,0.339,0.245
0.5,0.59,0.637,0.422,0.33,0.216,0.307,0.206
0.5,0.6,0.681,0.488,0.339,0.239,0.342,0.249
0.5,0.61,0.667,0.448,0.338,0.213,0.329,0.235
0.5,0.62,0.666,0.451,0.354,0.218,0.312,0.233
0.5,0.63,0.709,0.502,0.346,0.252,0.363,0.25
0.5,0.64,0.686,0.503,0.349,0.259,0.337,0.244
0.5,0.65,0.692,0.488,0.346,0.249,0.346,0.239
0.5,0.66,0.674,0.521,0.339,0.25,0.335,0.271
0.5,0.67,0.706,0.483,0.351,0.233,0.355,0.25
0.5,0.68,0.679,0.452,0.359,0.232,0.32,0.22
0.5,0.69,0.683,0.503,0.337,0.254,0.346,0.249
0.5,0.7,0.703,0.514,0.375,0.246,0.328,0.268
0.5,0.71,0.696,0.508,0.349,0.259,0.347,0.249
0.5,0.72,0.658,0.46,0.329,0.229,0.329,0.231
0.5,0.73,0.657,0.488,0.337,0.223,0.32,0.265
0.5,0.74,0.667,0.483,0.347,0.229,0.32,0.254
0.5,0.75,0.672,0.472,0.347,0.225,0.325,0.247
0.5,0.76,0.673,0.494,0.352,0.238,0.321,0.256
0.5,0.77,0.666,0.469,0.345,0.224,0.321,0.245
0.5,0.78,0.64,0.47,0.346,0.219,0.294,0.251
0.5,0.79,0.695,0.504,0.373,0.235,0.322,0.269
0.5,0.8,0.648,0.463,0.345,0.231,0.303,0.232
0.5,0.81,0.68,0.491,0.374,0.248,0.306,0.243
0.5,0.82,0.674,0.478,0.348,0.241,0.326,0.237
0.5,0.83,0.662,0.482,0.346,0.241,0.316,0.241
0.5,0.84,0.659,0.451,0.351,0.226,0.308,0.225
0.5,0.85,0.651,0.465,0.339,0.223,0.312,0.242
0.5,0.86,0.681,0.49,0.352,0.223,0.329,0.267
0.5,0.87,0.659,0.449,0.353,0.211,0.306,0.238
0.5,0.88,0.68,0.46,0.363,0.224,0.317,0.236
0.5,0.89,0.66,0.48,0.347,0.23,0.313,0.25
0.5,0.9,0.679,0.52,0.359,0.27,0.32,0.25
0.5,0.91,0.667,0.499,0.347,0.242,0.32,0.257
0.5,0.92,0.623,0.468,0.318,0.238,0.305,0.23
0.5,0.93,0.674,0.499,0.347,0.249,0.327,0.25
0.5,0.94,0.653,0.517,0.35,0.243,0.303,0.274
0.5,0.95,0.656,0.491,0.345,0.247,0.311,0.244
0.5,0.96,0.681,0.492,0.373,0.232,0.308,0.26
0.5,0.97,0.679,0.477,0.367,0.233,0.312,0.244
0.5,0.98,0.657,0.467,0.353,0.225,0.304,0.242
0.5,0.99,0.709,0.488,0.383,0.246,0.326,0.242
0.52,0.5,0.67,0.469,0.357,0.235,0.313,0.234
0.52,0.51,0.662,0.484,0.347,0.241,0.315,0.243
0.52,0.52,0.694,0.46,0.367,0.226,0.327,0.234
0.52,0.53,0.69,0.489,0.366,0.256,0.324,0.233
0.52,0.54,0.681,0.495,0.354,0.261,0.327,0.234
0.52,0.55,0.687,0.493,0.355,0.272,0.332,0.221
0.52,0.56,0.674,0.486,0.358,0.255,0.316,0.231
0.52,0.57,0.679,0.456,0.347,0.226,0.332,0.23
0.52,0.58,0.672,0.488,0.35,0.261,0.322,0.227
0.52,0.59,0.68,0.5,0.351,0.253,0.329,0.247
0.52,0.6,0.707,0.477,0.363,0.246,0.344,0.231
0.52,0.61,0.694,0.513,0.367,0.262,0.327,0.251
0.52,0.62,0.692,0.508,0.357,0.253,0.335,0.255
0.52,0.63,0.67,0.472,0.36,0.247,0.31,0.225
0.52,0.64,0.688,0.483,0.365,0.251,0.323,0.232
0.52,0.65,0.696,0.466,0.369,0.239,0.327,0.227
0.52,0.66,0.697,0.445,0.371,0.231,0.326,0.214
0.52,0.67,0.677,0.484,0.346,0.245,0.331,0.239
0.52,0.68,0.672,0.464,0.351,0.231,0.321,0.233
0.52,0.69,0.704,0.461,0.382,0.251,0.322,0.21
0.52,0.7,0.664,0.478,0.347,0.237,0.317,0.241
0.52,0.71,0.687,0.481,0.364,0.256,0.323,0.225
0.52,0.72,0.701,0.466,0.369,0.242,0.332,0.224
0.52,0.73,0.677,0.488,0.348,0.232,0.329,0.256
0.52,0.74,0.699,0.531,0.389,0.272,0.31,0.259
0.52,0.75,0.686,0.469,0.374,0.233,0.312,0.236
0.52,0.76,0.698,0.452,0.373,0.22,0.325,0.232
0.52,0.77,0.687,0.475,0.363,0.248,0.324,0.227
0.52,0.78,0.678,0.493,0.376,0.253,0.302,0.24
0.52,0.79,0.686,0.471,0.371,0.244,0.315,0.227
0.52,0.8,0.662,0.485,0.349,0.252,0.313,0.233
0.52,0.81,0.672,0.479,0.373,0.24,0.299,0.239
0.52,0.82,0.693,0.462,0.375,0.23,0.318,0.232
0.52,0.83,0.677,0.465,0.358,0.223,0.319,0.242
0.52,0.84,0.656,0.484,0.374,0.247,0.282,0.237
0.52,0.85,0.67,0.506,0.359,0.26,0.311,0.246
0.52,0.86,0.675,0.444,0.375,0.223,0.3,0.221
0.52,0.87,0.682,0.504,0.381,0.257,0.301,0.247
0.52,0.88,0.67,0.479,0.381,0.25,0.289,0.229
0.52,0.89,0.653,0.509,0.35,0.259,0.303,0.25
0.52,0.9,0.677,0.463,0.373,0.231,0.304,0.232
0.52,0.91,0.687,0.49,0.38,0.244,0.307,0.246
0.52,0.92,0.671,0.462,0.363,0.24,0.308,0.222
0.52,0.93,0.659,0.509,0.361,0.264,0.298,0.245
0.52,0.94,0.642,0.47,0.357,0.241,0.285,0.229
0.52,0.95,0.719,0.52,0.387,0.273,0.332,0.247
0.52,0.96,0.664,0.461,0.371,0.239,0.293,0.222
0.52,0.97,0.693,0.501,0.392,0.263,0.301,0.238
0.52,0.98,0.662,0.491,0.362,0.255,0.3,0.236
0.52,0.99,0.638,0.474,0.35,0.233,0.288,0.241
0.54,0.5,0.696,0.473,0.383,0.259,0.313,0.214
0.54,0.51,0.732,0.471,0.387,0.25,0.345,0.221
0.54,0.52,0.697,0.504,0.373,0.264,0.324,0.24
