"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.32,0.04,0.6784,0.5018,0.3516,0.2538,0.3268,0.248
0.32,0.06,0.7112,0.5436,0.3698,0.2716,0.3414,0.272
0.32,0.08,0.6834,0.5818,0.3582,0.2912,0.3252,0.2906
0.32,0.1,0.699,0.5548,0.3602,0.2784,0.3388,0.2764
0.32,0.12,0.7302,0.5602,0.3758,0.2782,0.3544,0.282
0.32,0.14,0.7014,0.5252,0.3644,0.2592,0.337,0.266
0.32,0.16,0.711,0.5566,0.3696,0.2762,0.3414,0.2804
0.32,0.18,0.7114,0.4912,0.3734,0.2444,0.338,0.2468
0.32,0.2,0.707,0.568,0.3638,0.2854,0.3432,0.2826
0.32,0.22,0.7192,0.5074,0.371,0.2494,0.3482,0.258
0.32,0.24,0.699,0.5522,0.3664,0.2796,0.3326,0.2726
0.32,0.26,0.712,0.5368,0.3664,0.267,0.3456,0.2698
0.32,0.28,0.6978,0.543,0.366,0.2674,0.3318,0.2756
0.32,0.3,0.7376,0.5736,0.3818,0.2888,0.3558,0.2848
0.32,0.32,0.7356,0.5166,0.3824,0.2558,0.3532,0.2608
0.32,0.34,0.7388,0.5532,0.3858,0.2788,0.353,0.2744
0.32,0.36,0.7262,0.5502,0.3772,0.2696,0.349,0.2806
0.32,0.38,0.7354,0.5454,0.3814,0.2694,0.354,0.276
0.32,0.4,0.7126,0.5364,0.3756,0.2698,0.337,0.2666
0.32,0.42,0.7322,0.5336,0.3772,0.2626,0.355,0.271
0.32,0.44,0.7478,0.5434,0.3862,0.2714,0.3616,0.272
0.32,0.46,0.7296,0.5596,0.38,0.279,0.3496,0.2806
0.32,0.48,0.7172,0.5304,0.3754,0.2632,0.3418,0.2672
0.32,0.5,0.7292,0.5244,0.3738,0.2624,0.3554,0.262
0.32,0.52,0.7202,0.5408,0.375,0.267,0.3452,0.2738
0.32,0.54,0.7404,0.5438,0.3814,0.2734,0.359,0.2704
0.32,0.56,0.7192,0.5134,0.3776,0.2578,0.3416,0.2556
0.32,0.58,0.7234,0.5628,0.3796,0.2794,0.3438,0.2834
0.32,0.6,0.7176,0.5624,0.3716,0.278,0.346,0.2844
0.32,0.62,0.7328,0.5582,0.3812,0.2754,0.3516,0.2828
0.32,0.64,0.7178,0.5536,0.3764,0.2742,0.3414,0.2794
0.32,0.66,0.7334,0.537,0.3848,0.276,0.3486,0.261
0.32,0.68,0.7534,0.5276,0.393,0.2604,0.3604,0.2672
0.32,0.7,0.7194,0.5324,0.3754,0.2626,0.344,0.2698
0.32,0.72,0.737,0.5814,0.3828,0.2916,0.3542,0.2898
0.32,0.74,0.7488,0.5126,0.3878,0.2588,0.361,0.2538
0.32,0.76,0.7092,0.5602,0.3754,0.2848,0.3338,0.2754
0.32,0.78,0.7388,0.5482,0.383,0.278,0.3558,0.2702
0.32,0.8,0.739,0.5382,0.3912,0.2668,0.3478,0.2714
0.32,0.82,0.7294,0.5378,0.3814,0.2704,0.348,0.2674
0.32,0.84,0.744,0.5174,0.3902,0.262,0.3538,0.2554
0.32,0.86,0.724,0.5634,0.3888,0.2766,0.3352,0.2868
0.32,0.88,0.7698,0.5444,0.4004,0.2742,0.3694,0.2702
0.32,0.9,0.7254,0.5678,0.3744,0.282,0.351,0.2858
0.32,0.92,0.7508,0.5578,0.3882,0.283,0.3626,0.2748
0.32,0.94,0.7472,0.556,0.392,0.2812,0.3552,0.2748
0.32,0.96,0.749,0.5288,0.394,0.2628,0.355,0.266
0.32,0.98,0.7402,0.555,0.3926,0.279,0.3476,0.276
0.32,1,0.7526,0.5554,0.3926,0.2756,0.36,0.2798
0.34,0.02,0.7216,0.5596,0.3722,0.2834,0.3494,0.2762
0.34,0.04,0.6898,0.5366,0.363,0.2664,0.3268,0.2702
0.34,0.06,0.7188,0.552,0.3758,0.2722,0.343,0.2798
0.34,0.08,0.7124,0.5338,0.365,0.2656,0.3474,0.2682
0.34,0.1,0.695,0.5234,0.3628,0.2608,0.3322,0.2626
0.34,0.12,0.7194,0.547,0.3728,0.2748,0.3466,0.2722
0.34,0.14,0.7216,0.5232,0.3822,0.2642,0.3394,0.259
0.34,0.16,0.7174,0.53,0.373,0.2628,0.3444,0.2672
0.34,0.18,0.7304,0.5298,0.3808,0.2656,0.3496,0.2642
0.34,0.2,0.6984,0.5072,0.3578,0.255,0.3406,0.2522
0.34,0.22,0.7242,0.5254,0.3754,0.258,0.3488,0.2674
0.34,0.24,0.7052,0.5456,0.3668,0.2716,0.3384,0.274
0.34,0.26,0.7172,0.512,0.3738,0.2502,0.3434,0.2618
0.34,0.28,0.7142,0.5156,0.3728,0.2574,0.3414,0.2582
0.34,0.3,0.7158,0.5536,0.3774,0.2682,0.3384,0.2854
0.34,0.32,0.7454,0.537,0.3832,0.2692,0.3622,0.2678
0.34,0.34,0.7138,0.538,0.3668,0.2728,0.347,0.2652
0.34,0.36,0.7306,0.5582,0.3772,0.2768,0.3534,0.2814
0.34,0.38,0.713,0.4878,0.374,0.2398,0.339,0.248
0.34,0.4,0.7138,0.555,0.3698,0.2758,0.344,0.2792
0.34,0.42,0.712,0.5398,0.3764,0.2698,0.3356,0.27
0.34,0.44,0.7228,0.5184,0.375,0.2624,0.3478,0.256
0.34,0.46,0.7318,0.5174,0.3746,0.264,0.3572,0.2534
0.34,0.48,0.7066,0.5594,0.3696,0.277,0.337,0.2824
0.34,0.5,0.7188,0.5424,0.3758,0.2708,0.343,0.2716
0.34,0.52,0.7566,0.5094,0.3922,0.2558,0.3644,0.2536
0.34,0.54,0.7204,0.544,0.3812,0.2682,0.3392,0.2758
0.34,0.56,0.724,0.5208,0.3766,0.2622,0.3474,0.2586
0.34,0.58,0.7328,0.5304,0.3812,0.27,0.3516,0.2604
0.34,0.6,0.7218,0.5512,0.3818,0.2782,0.34,0.273
0.34,0.62,0.7402,0.5272,0.3848,0.2662,0.3554,0.261
0.34,0.64,0.7308,0.5188,0.3892,0.2596,0.3416,0.2592
0.34,0.66,0.7348,0.5442,0.3846,0.2722,0.3502,0.272
0.34,0.68,0.7508,0.536,0.3926,0.268,0.3582,0.268
0.34,0.7,0.75,0.4976,0.393,0.2434,0.357,0.2542
0.34,0.72,0.7416,0.5458,0.391,0.2636,0.3506,0.2822
0.34,0.74,0.7234,0.539,0.3786,0.2618,0.3448,0.2772
0.34,0.76,0.744,0.5002,0.3836,0.2516,0.3604,0.2486
0.34,0.78,0.737,0.5478,0.3846,0.2746,0.3524,0.2732
0.34,0.8,0.7594,0.5294,0.3966,0.2634,0.3628,0.266
0.34,0.82,0.7264,0.582,0.3776,0.2904,0.3488,0.2916
0.34,0.84,0.7428,0.5318,0.389,0.2702,0.3538,0.2616
0.34,0.86,0.7702,0.566,0.4068,0.2898,0.3634,0.2762
0.34,0.88,0.7324,0.5906,0.3864,0.297,0.346,0.2936
0.34,0.9,0.7426,0.5524,0.3866,0.279,0.356,0.2734
0.34,0.92,0.7404,0.5026,0.3884,0.249,0.352,0.2536
0.34,0.94,0.7432,0.5402,0.389,0.266,0.3542,0.2742
0.34,0.96,0.7532,0.5124,0.392,0.2544,0.3612,0.258
0.34,0.98,0.7754,0.5482,0.4082,0.2792,0.3672,0.269
0.34,1,0.733,0.5306,0.3852,0.269,0.3478,0.2616
0.36,0.02,0.695,0.5222,0.3628,0.2624,0.3322,0.2598
0.36,0.04,0.6796,0.5478,0.351,0.2722,0.3286,0.2756
0.36,0.06,0.6882,0.5558,0.355,0.2804,0.3332,0.2754
0.36,0.08,0.7214,0.5208,0.38,0.2596,0.3414,0.2612
0.36,0.1,0.7114,0.5126,0.3684,0.2548,0.343,0.2578
0.36,0.12,0.7152,0.5422,0.3706,0.276,0.3446,0.2662
0.36,0.14,0.7142,0.5422,0.3658,0.2692,0.3484,0.273
0.36,0.16,0.7088,0.5268,0.3702,0.2662,0.3386,0.2606
0.36,0.18,0.7214,0.5328,0.3692,0.2638,0.3522,0.269
0.36,0.2,0.7482,0.5686,0.387,0.29,0.3612,0.2786
0.36,0.22,0.7336,0.5414,0.3758,0.272,0.3578,0.2694
0.36,0.24,0.7118,0.531,0.3682,0.2674,0.3436,0.2636
0.36,0.26,0.7086,0.5518,0.3712,0.2786,0.3374,0.2732
0.36,0.28,0.7214,0.5436,0.3752,0.2732,0.3462,0.2704
0.36,0.3,0.7094,0.562,0.3674,0.2784,0.342,0.2836
0.36,0.32,0.7322,0.5238,0.3766,0.2642,0.3556,0.2596
0.36,0.34,0.7232,0.559,0.3766,0.2846,0.3466,0.2744
0.36,0.36,0.7206,0.5468,0.3738,0.2772,0.3468,0.2696
0.36,0.38,0.7236,0.5148,0.375,0.2638,0.3486,0.251
0.36,0.4,0.6936,0.5416,0.3684,0.2698,0.3252,0.2718
0.36,0.42,0.7244,0.5516,0.3792,0.277,0.3452,0.2746
0.36,0.44,0.7028,0.5312,0.373,0.2686,0.3298,0.2626
0.36,0.46,0.742,0.5512,0.3882,0.269,0.3538,0.2822
0.36,0.48,0.7222,0.5358,0.3764,0.2644,0.3458,0.2714
0.36,0.5,0.7068,0.5202,0.3682,0.261,0.3386,0.2592
0.36,0.52,0.7132,0.5238,0.3726,0.271,0.3406,0.2528
0.36,0.54,0.711,0.534,0.3756,0.265,0.3354,0.269
0.36,0.56,0.7242,0.5294,0.3824,0.258,0.3418,0.2714
0.36,0.58,0.7584,0.5088,0.3934,0.2534,0.365,0.2554
0.36,0.6,0.7462,0.5092,0.3882,0.2546,0.358,0.2546
0.36,0.62,0.744,0.5318,0.3916,0.264,0.3524,0.2678
0.36,0.64,0.734,0.527,0.384,0.2616,0.35,0.2654
0.36,0.66,0.7226,0.5198,0.3822,0.2612,0.3404,0.2586
0.36,0.68,0.746,0.516,0.3888,0.257,0.3572,0.259
0.36,0.7,0.7424,0.513,0.3804,0.2536,0.362,0.2594
0.36,0.72,0.7172,0.5362,0.3764,0.2654,0.3408,0.2708
0.36,0.74,0.7068,0.5594,0.3762,0.2804,0.3306,0.279
0.36,0.76,0.7138,0.5216,0.373,0.2606,0.3408,0.261
0.36,0.78,0.7364,0.5266,0.3882,0.2614,0.3482,0.2652
0.36,0.8,0.7352,0.548,0.385,0.275,0.3502,0.273
0.36,0.82,0.7338,0.5464,0.39,0.2688,0.3438,0.2776
0.36,0.84,0.7322,0.5392,0.3834,0.2692,0.3488,0.27
0.36,0.86,0.73,0.5548,0.3842,0.2768,0.3458,0.278
0.36,0.88,0.7426,0.5346,0.3876,0.273,0.355,0.2616
0.36,0.9,0.7318,0.5264,0.3792,0.263,0.3526,0.2634
0.36,0.92,0.7462,0.5534,0.3956,0.2788,0.3506,0.2746
0.36,0.94,0.7404,0.5368,0.3902,0.2674,0.3502,0.2694
0.36,0.96,0.7524,0.4632,0.3932,0.2334,0.3592,0.2298
0.36,0.98,0.7492,0.542,0.3946,0.2708,0.3546,0.2712
0.36,1,0.7444,0.533,0.3908,0.261,0.3536,0.272
0.38,0.02,0.6954,0.5232,0.3644,0.2642,0.331,0.259
0.38,0.04,0.6926,0.4926,0.3606,0.246,0.332,0.2466
0.38,0.06,0.6968,0.5482,0.3616,0.2722,0.3352,0.276
0.38,0.08,0.6944,0.52,0.3586,0.2664,0.3358,0.2536
0.38,0.1,0.6966,0.5448,0.3678,0.2756,0.3288,0.2692
0.38,0.12,0.6908,0.5644,0.3552,0.2852,0.3356,0.2792
0.38,0.14,0.7048,0.557,0.3616,0.2786,0.3432,0.2784
0.38,0.16,0.7048,0.5274,0.3606,0.2644,0.3442,0.263
0.38,0.18,0.714,0.5058,0.3768,0.2584,0.3372,0.2474
0.38,0.2,0.7268,0.5482,0.3744,0.2734,0.3524,0.2748
0.38,0.22,0.6958,0.5406,0.3674,0.2712,0.3284,0.2694
0.38,0.24,0.722,0.5286,0.3756,0.2616,0.3464,0.267
0.38,0.26,0.6852,0.5242,0.3616,0.268,0.3236,0.2562
0.38,0.28,0.7304,0.4864,0.3814,0.247,0.349,0.2394
0.38,0.3,0.7058,0.5334,0.367,0.2662,0.3388,0.2672
0.38,0.32,0.7134,0.554,0.3718,0.277,0.3416,0.277
0.38,0.34,0.7018,0.5278,0.37,0.257,0.3318,0.2708
0.38,0.36,0.7068,0.5188,0.3648,0.2538,0.342,0.265
0.38,0.38,0.7024,0.5456,0.3666,0.2736,0.3358,0.272
0.38,0.4,0.715,0.5296,0.376,0.2618,0.339,0.2678
0.38,0.42,0.728,0.5212,0.3782,0.2556,0.3498,0.2656
0.38,0.44,0.71,0.544,0.3736,0.2744,0.3364,0.2696
0.38,0.46,0.7266,0.5438,0.379,0.2748,0.3476,0.269
0.38,0.48,0.7152,0.5226,0.3738,0.2644,0.3414,0.2582
0.38,0.5,0.7428,0.5262,0.3864,0.2596,0.3564,0.2666
0.38,0.52,0.7138,0.543,0.3792,0.273,0.3346,0.27
0.38,0.54,0.713,0.5572,0.3764,0.278,0.3366,0.2792
0.38,0.56,0.7354,0.4938,0.3832,0.2502,0.3522,0.2436
0.38,0.58,0.7284,0.541,0.3824,0.2718,0.346,0.2692
0.38,0.6,0.7388,0.5422,0.382,0.272,0.3568,0.2702
0.38,0.62,0.7432,0.5216,0.3862,0.2612,0.357,0.2604
0.38,0.64,0.7404,0.5558,0.3844,0.2804,0.356,0.2754
0.38,0.66,0.7244,0.5502,0.3832,0.2744,0.3412,0.2758
0.38,0.68,0.734,0.5458,0.3862,0.2742,0.3478,0.2716
0.38,0.7,0.7286,0.5454,0.3736,0.2768,0.355,0.2686
0.38,0.72,0.7294,0.5456,0.3852,0.2724,0.3442,0.2732
0.38,0.74,0.7312,0.5498,0.3856,0.2742,0.3456,0.2756
0.38,0.76,0.723,0.5272,0.3756,0.2596,0.3474,0.2676
0.38,0.78,0.7266,0.53,0.38,0.2666,0.3466,0.2634
0.38,0.8,0.7212,0.5508,0.376,0.2782,0.3452,0.2726
0.38,0.82,0.7332,0.4932,0.3866,0.249,0.3466,0.2442
0.38,0.84,0.7398,0.5562,0.3826,0.2844,0.3572,0.2718
0.38,0.86,0.7266,0.5376,0.382,0.2712,0.3446,0.2664
0.38,0.88,0.752,0.4964,0.3928,0.2398,0.3592,0.2566
0.38,0.9,0.7556,0.5122,0.391,0.2574,0.3646,0.2548
0.38,0.92,0.7466,0.5148,0.3948,0.2562,0.3518,0.2586
0.38,0.94,0.7524,0.5356,0.3924,0.2662,0.36,0.2694
0.38,0.96,0.7256,0.5186,0.3856,0.2652,0.34,0.2534
0.38,0.98,0.7526,0.5498,0.3896,0.2736,0.363,0.2762
0.38,1,0.7468,0.5136,0.3892,0.259,0.3576,0.2546
0.4,0.02,0.6944,0.5544,0.3592,0.275,0.3352,0.2794
0.4,0.04,0.6962,0.5502,0.3612,0.2754,0.335,0.2748
0.4,0.06,0.6954,0.5212,0.3508,0.2632,0.3446,0.258
0.4,0.08,0.691,0.5068,0.3622,0.2544,0.3288,0.2524
0.4,0.1,0.7232,0.5366,0.373,0.265,0.3502,0.2716
0.4,0.12,0.7088,0.5236,0.37,0.2596,0.3388,0.264
0.4,0.14,0.7136,0.5202,0.3768,0.26,0.3368,0.2602
0.4,0.16,0.7294,0.548,0.3812,0.275,0.3482,0.273
0.4,0.18,0.696,0.5412,0.3586,0.2752,0.3374,0.266
0.4,0.2,0.7164,0.5588,0.3756,0.2866,0.3408,0.2722
0.4,0.22,0.6936,0.541,0.3622,0.2678,0.3314,0.2732
0.4,0.24,0.7228,0.5358,0.3754,0.2664,0.3474,0.2694
0.4,0.26,0.6912,0.5188,0.358,0.2586,0.3332,0.2602
0.4,0.28,0.7412,0.5298,0.3816,0.266,0.3596,0.2638
0.4,0.3,0.7168,0.5338,0.3692,0.2654,0.3476,0.2684
0.4,0.32,0.7138,0.5226,0.3756,0.262,0.3382,0.2606
0.4,0.34,0.7116,0.5448,0.3688,0.2722,0.3428,0.2726
0.4,0.36,0.7144,0.5298,0.3722,0.2666,0.3422,0.2632
0.4,0.38,0.6998,0.5402,0.3696,0.2748,0.3302,0.2654
0.4,0.4,0.7178,0.5046,0.3762,0.2468,0.3416,0.2578
0.4,0.42,0.6944,0.532,0.3638,0.2648,0.3306,0.2672
0.4,0.44,0.7232,0.5446,0.3784,0.2692,0.3448,0.2754
0.4,0.46,0.712,0.5488,0.3844,0.2738,0.3276,0.275
0.4,0.48,0.7278,0.508,0.3756,0.2522,0.3522,0.2558
0.4,0.5,0.7038,0.5028,0.366,0.2532,0.3378,0.2496
0.4,0.52,0.7176,0.568,0.3748,0.2794,0.3428,0.2886
0.4,0.54,0.7184,0.5378,0.3728,0.2768,0.3456,0.261
0.4,0.56,0.7232,0.5176,0.377,0.2578,0.3462,0.2598
0.4,0.58,0.7286,0.534,0.3802,0.2682,0.3484,0.2658
0.4,0.6,0.7324,0.5352,0.3798,0.2666,0.3526,0.2686
0.4,0.62,0.7132,0.4944,0.3786,0.2482,0.3346,0.2462
0.4,0.64,0.7338,0.5238,0.3796,0.263,0.3542,0.2608
0.4,0.66,0.7264,0.508,0.3814,0.2564,0.345,0.2516
0.4,0.68,0.721,0.5178,0.378,0.2556,0.343,0.2622
0.4,0.7,0.7424,0.5016,0.3864,0.255,0.356,0.2466
0.4,0.72,0.7342,0.4764,0.389,0.2418,0.3452,0.2346
0.4,0.74,0.7218,0.5378,0.3792,0.2676,0.3426,0.2702
0.4,0.76,0.7562,0.4998,0.3932,0.2486,0.363,0.2512
0.4,0.78,0.732,0.55,0.3912,0.2798,0.3408,0.2702
0.4,0.8,0.7292,0.547,0.3856,0.2738,0.3436,0.2732
0.4,0.82,0.7284,0.5584,0.38,0.2744,0.3484,0.284
0.4,0.84,0.76,0.5292,0.391,0.2616,0.369,0.2676
0.4,0.86,0.7368,0.517,0.3844,0.2552,0.3524,0.2618
0.4,0.88,0.7376,0.5556,0.3868,0.2748,0.3508,0.2808
0.4,0.9,0.7428,0.5422,0.3886,0.2732,0.3542,0.269
0.4,0.92,0.7502,0.531,0.393,0.2538,0.3572,0.2772
0.4,0.94,0.7368,0.5566,0.3924,0.2842,0.3444,0.2724
0.4,0.96,0.7436,0.5426,0.39,0.2742,0.3536,0.2684
0.4,0.98,0.734,0.5504,0.3886,0.2744,0.3454,0.276
0.4,1,0.7164,0.552,0.3826,0.2712,0.3338,0.2808
0.42,0.02,0.7166,0.488,0.3686,0.2424,0.348,0.2456
0.42,0.04,0.6876,0.5152,0.3566,0.255,0.331,0.2602
0.42,0.06,0.7124,0.5406,0.3686,0.2738,0.3438,0.2668
0.42,0.08,0.6894,0.5154,0.358,0.2544,0.3314,0.261
0.42,0.1,0.6968,0.5244,0.3594,0.2606,0.3374,0.2638
0.42,0.12,0.7096,0.5026,0.3694,0.2486,0.3402,0.254
0.42,0.14,0.72,0.525,0.3692,0.2608,0.3508,0.2642
0.42,0.16,0.701,0.5244,0.3626,0.2666,0.3384,0.2578
0.42,0.18,0.699,0.5626,0.3644,0.2776,0.3346,0.285
0.42,0.2,0.6956,0.5732,0.3584,0.2834,0.3372,0.2898
0.42,0.22,0.7068,0.531,0.3692,0.2664,0.3376,0.2646
0.42,0.24,0.6812,0.543,0.3598,0.2684,0.3214,0.2746
0.42,0.26,0.7062,0.542,0.3654,0.2694,0.3408,0.2726
0.42,0.28,0.688,0.5536,0.359,0.2756,0.329,0.278
0.42,0.3,0.7012,0.5504,0.3644,0.2752,0.3368,0.2752
0.42,0.32,0.7142,0.5524,0.3746,0.2714,0.3396,0.281
0.42,0.34,0.702,0.556,0.3678,0.271,0.3342,0.285
0.42,0.36,0.704,0.5462,0.3696,0.2704,0.3344,0.2758
0.42,0.38,0.7106,0.5266,0.3736,0.2604,0.337,0.2662
0.42,0.4,0.7408,0.5552,0.3798,0.2762,0.361,0.279
0.42,0.42,0.7024,0.5384,0.3716,0.2678,0.3308,0.2706
0.42,0.44,0.7018,0.5326,0.3662,0.262,0.3356,0.2706
0.42,0.46,0.718,0.5048,0.3756,0.2468,0.3424,0.258
0.42,0.48,0.7158,0.5194,0.373,0.26,0.3428,0.2594
0.42,0.5,0.7266,0.5022,0.3766,0.2474,0.35,0.2548
0.42,0.52,0.7464,0.5402,0.3936,0.267,0.3528,0.2732
0.42,0.54,0.7346,0.5296,0.3882,0.2668,0.3464,0.2628
0.42,0.56,0.728,0.5098,0.3746,0.2572,0.3534,0.2526
0.42,0.58,0.7176,0.4994,0.3726,0.2518,0.345,0.2476
0.42,0.6,0.7178,0.53,0.3746,0.2602,0.3432,0.2698
0.42,0.62,0.7188,0.5194,0.3734,0.2578,0.3454,0.2616
0.42,0.64,0.7214,0.5426,0.3762,0.274,0.3452,0.2686
0.42,0.66,0.718,0.5494,0.3632,0.27,0.3548,0.2794
0.42,0.68,0.686,0.5212,0.3674,0.253,0.3186,0.2682
0.42,0.7,0.7462,0.555,0.3896,0.2708,0.3566,0.2842
0.42,0.72,0.738,0.5424,0.3836,0.2672,0.3544,0.2752
0.42,0.74,0.731,0.5144,0.3828,0.2616,0.3482,0.2528
0.42,0.76,0.7316,0.5396,0.384,0.2694,0.3476,0.2702
0.42,0.78,0.7288,0.5476,0.3888,0.274,0.34,0.2736
0.42,0.8,0.7372,0.5422,0.3882,0.2688,0.349,0.2734
0.42,0.82,0.7322,0.526,0.3798,0.2606,0.3524,0.2654
0.42,0.84,0.7348,0.5328,0.3844,0.2694,0.3504,0.2634
0.42,0.86,0.745,0.52,0.3874,0.2614,0.3576,0.2586
0.42,0.88,0.734,0.5202,0.3846,0.257,0.3494,0.2632
0.42,0.9,0.7318,0.5382,0.381,0.272,0.3508,0.2662
0.42,0.92,0.7328,0.4986,0.3862,0.2486,0.3466,0.25
0.42,0.94,0.7534,0.5192,0.398,0.2608,0.3554,0.2584
0.42,0.96,0.7342,0.5024,0.3876,0.2456,0.3466,0.2568
0.42,0.98,0.7448,0.5038,0.386,0.2514,0.3588,0.2524
0.42,1,0.7474,0.506,0.3942,0.254,0.3532,0.252
0.44,0.02,0.6698,0.5526,0.3454,0.277,0.3244,0.2756
0.44,0.04,0.676,0.542,0.3496,0.2758,0.3264,0.2662
0.44,0.06,0.6986,0.5174,0.3586,0.26,0.34,0.2574
0.44,0.08,0.6698,0.5442,0.346,0.2646,0.3238,0.2796
0.44,0.1,0.7036,0.5198,0.3638,0.2598,0.3398,0.26
0.44,0.12,0.7244,0.5248,0.3828,0.2578,0.3416,0.267
0.44,0.14,0.697,0.5094,0.3664,0.2522,0.3306,0.2572
0.44,0.16,0.6972,0.5302,0.3656,0.2658,0.3316,0.2644
0.44,0.18,0.6782,0.5088,0.3556,0.2572,0.3226,0.2516
0.44,0.2,0.7096,0.5214,0.3698,0.2594,0.3398,0.262
0.44,0.22,0.7246,0.5186,0.3754,0.2516,0.3492,0.267
0.44,0.24,0.7078,0.4998,0.368,0.2356,0.3398,0.2642
0.44,0.26,0.7156,0.5296,0.3708,0.2642,0.3448,0.2654
0.44,0.28,0.6962,0.5024,0.3628,0.2514,0.3334,0.251
0.44,0.3,0.7054,0.513,0.37,0.2612,0.3354,0.2518
0.44,0.32,0.7226,0.505,0.3748,0.2504,0.3478,0.2546
0.44,0.34,0.725,0.5364,0.3778,0.2734,0.3472,0.263
0.44,0.36,0.7226,0.5184,0.3768,0.2568,0.3458,0.2616
0.44,0.38,0.6934,0.5504,0.3632,0.271,0.3302,0.2794
0.44,0.4,0.7352,0.504,0.3782,0.2468,0.357,0.2572
0.44,0.42,0.7168,0.5424,0.3786,0.2666,0.3382,0.2758
0.44,0.44,0.7236,0.5054,0.3748,0.2572,0.3488,0.2482
0.44,0.46,0.6992,0.5388,0.3672,0.2648,0.332,0.274
0.44,0.48,0.7272,0.5498,0.3756,0.2752,0.3516,0.2746
0.44,0.5,0.7336,0.5206,0.381,0.2534,0.3526,0.2672
0.44,0.52,0.7166,0.5134,0.377,0.2596,0.3396,0.2538
0.44,0.54,0.7172,0.5574,0.3774,0.2804,0.3398,0.277
0.44,0.56,0.709,0.519,0.373,0.2572,0.336,0.2618
0.44,0.58,0.7326,0.5168,0.3834,0.2594,0.3492,0.2574
0.44,0.6,0.7218,0.5074,0.384,0.2574,0.3378,0.25
0.44,0.62,0.7254,0.5004,0.38,0.2478,0.3454,0.2526
0.44,0.64,0.7462,0.5238,0.3922,0.2606,0.354,0.2632
0.44,0.66,0.7444,0.5208,0.3906,0.2562,0.3538,0.2646
0.44,0.68,0.7206,0.4916,0.382,0.246,0.3386,0.2456
0.44,0.7,0.7442,0.5186,0.3856,0.2578,0.3586,0.2608
0.44,0.72,0.7318,0.5196,0.3828,0.2592,0.349,0.2604
0.44,0.74,0.7584,0.5542,0.3938,0.275,0.3646,0.2792
0.44,0.76,0.7258,0.5714,0.3798,0.2824,0.346,0.289
0.44,0.78,0.7402,0.5212,0.3864,0.2566,0.3538,0.2646
0.44,0.8,0.7254,0.5292,0.3834,0.2656,0.342,0.2636
0.44,0.82,0.7212,0.5202,0.3792,0.2584,0.342,0.2618
0.44,0.84,0.7158,0.5366,0.3796,0.2728,0.3362,0.2638
0.44,0.86,0.718,0.5556,0.3834,0.2724,0.3346,0.2832
0.44,0.88,0.7172,0.5372,0.3784,0.2694,0.3388,0.2678
0.44,0.9,0.7356,0.5154,0.3886,0.2562,0.347,0.2592
0.44,0.92,0.7358,0.5372,0.3782,0.2662,0.3576,0.271
0.44,0.94,0.74,0.5072,0.3912,0.2482,0.3488,0.259
0.44,0.96,0.7408,0.5244,0.3842,0.268,0.3566,0.2564
0.44,0.98,0.735,0.5554,0.3842,0.281,0.3508,0.2744
0.44,1,0.7484,0.5108,0.3932,0.256,0.3552,0.2548
0.46,0.02,0.7048,0.547,0.3646,0.2744,0.3402,0.2726
0.46,0.04,0.6952,0.5314,0.3588,0.2628,0.3364,0.2686
0.46,0.06,0.6836,0.5124,0.3564,0.2568,0.3272,0.2556
0.46,0.08,0.6742,0.5256,0.3568,0.2624,0.3174,0.2632
0.46,0.1,0.7096,0.5198,0.3698,0.2606,0.3398,0.2592
0.46,0.12,0.7046,0.5322,0.3654,0.2686,0.3392,0.2636
0.46,0.14,0.6836,0.5042,0.3574,0.2514,0.3262,0.2528
0.46,0.16,0.7322,0.534,0.3808,0.2722,0.3514,0.2618
0.46,0.18,0.7026,0.5138,0.3754,0.255,0.3272,0.2588
0.46,0.2,0.71,0.513,0.3684,0.2542,0.3416,0.2588
0.46,0.22,0.6984,0.538,0.3642,0.2696,0.3342,0.2684
0.46,0.24,0.6988,0.511,0.364,0.2572,0.3348,0.2538
0.46,0.26,0.7028,0.5368,0.3674,0.2656,0.3354,0.2712
0.46,0.28,0.7162,0.5132,0.3734,0.2554,0.3428,0.2578
0.46,0.3,0.724,0.5622,0.375,0.2848,0.349,0.2774
0.46,0.32,0.6858,0.5432,0.3556,0.2726,0.3302,0.2706
0.46,0.34,0.7434,0.523,0.381,0.2686,0.3624,0.2544
0.46,0.36,0.6938,0.5234,0.359,0.2594,0.3348,0.264
0.46,0.38,0.7218,0.5144,0.375,0.2528,0.3468,0.2616
0.46,0.4,0.714,0.5114,0.3712,0.257,0.3428,0.2544
0.46,0.42,0.7372,0.517,0.3818,0.2536,0.3554,0.2634
0.46,0.44,0.7024,0.5192,0.3694,0.2552,0.333,0.264
0.46,0.46,0.7224,0.5184,0.382,0.262,0.3404,0.2564
0.46,0.48,0.7116,0.5486,0.3762,0.2688,0.3354,0.2798
0.46,0.5,0.7196,0.5198,0.3798,0.266,0.3398,0.2538
0.46,0.52,0.7208,0.5286,0.3754,0.264,0.3454,0.2646
0.46,0.54,0.7226,0.5276,0.3778,0.263,0.3448,0.2646
0.46,0.56,0.7148,0.5238,0.372,0.2642,0.3428,0.2596
0.46,0.58,0.715,0.5158,0.3772,0.263,0.3378,0.2528
0.46,0.6,0.7082,0.5372,0.3676,0.2678,0.3406,0.2694
