"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.14,0.3,0.743,0.5728,0.3818,0.2842,0.3612,0.2886
0.14,0.32,0.7238,0.5608,0.3682,0.284,0.3556,0.2768
0.14,0.34,0.7242,0.5748,0.37,0.2844,0.3542,0.2904
0.14,0.36,0.7322,0.5886,0.38,0.2966,0.3522,0.292
0.14,0.38,0.7438,0.5842,0.3792,0.2938,0.3646,0.2904
0.14,0.4,0.7406,0.5688,0.3774,0.2902,0.3632,0.2786
0.14,0.42,0.739,0.542,0.3832,0.2702,0.3558,0.2718
0.14,0.44,0.721,0.5758,0.3816,0.288,0.3394,0.2878
0.14,0.46,0.7382,0.5616,0.3842,0.2784,0.354,0.2832
0.14,0.48,0.7382,0.5566,0.3798,0.27,0.3584,0.2866
0.14,0.5,0.7476,0.569,0.3822,0.2846,0.3654,0.2844
0.14,0.52,0.7412,0.5848,0.3884,0.2922,0.3528,0.2926
0.14,0.54,0.7426,0.5768,0.3838,0.2858,0.3588,0.291
0.14,0.56,0.7298,0.5666,0.379,0.2868,0.3508,0.2798
0.14,0.58,0.743,0.5508,0.3812,0.276,0.3618,0.2748
0.14,0.6,0.7546,0.55,0.3892,0.2762,0.3654,0.2738
0.14,0.62,0.7568,0.571,0.3914,0.2902,0.3654,0.2808
0.14,0.64,0.763,0.5674,0.397,0.2902,0.366,0.2772
0.14,0.66,0.7584,0.537,0.3926,0.2722,0.3658,0.2648
0.14,0.68,0.7144,0.593,0.3716,0.2988,0.3428,0.2942
0.14,0.7,0.7428,0.5502,0.385,0.2774,0.3578,0.2728
0.14,0.72,0.7512,0.5586,0.393,0.2806,0.3582,0.278
0.14,0.74,0.7766,0.5446,0.406,0.2674,0.3706,0.2772
0.14,0.76,0.736,0.5468,0.3804,0.2756,0.3556,0.2712
0.14,0.78,0.75,0.5954,0.3848,0.3004,0.3652,0.295
0.14,0.8,0.7634,0.529,0.392,0.2624,0.3714,0.2666
0.14,0.82,0.7498,0.5554,0.393,0.2778,0.3568,0.2776
0.14,0.84,0.7608,0.567,0.3876,0.2846,0.3732,0.2824
0.14,0.86,0.758,0.5582,0.3996,0.2798,0.3584,0.2784
0.14,0.88,0.7486,0.5804,0.3924,0.2878,0.3562,0.2926
0.14,0.9,0.7384,0.571,0.391,0.2816,0.3474,0.2894
0.14,0.92,0.756,0.5678,0.392,0.2796,0.364,0.2882
0.14,0.94,0.7666,0.5552,0.4018,0.2734,0.3648,0.2818
0.14,0.96,0.7644,0.5302,0.399,0.2644,0.3654,0.2658
0.14,0.98,0.7678,0.5512,0.3934,0.2776,0.3744,0.2736
0.14,1,0.7588,0.5914,0.395,0.2916,0.3638,0.2998
0.16,0.02,0.7392,0.5526,0.3822,0.2774,0.357,0.2752
0.16,0.04,0.718,0.597,0.3696,0.2994,0.3484,0.2976
0.16,0.06,0.7552,0.5884,0.3866,0.2904,0.3686,0.298
0.16,0.08,0.7154,0.5608,0.3704,0.281,0.345,0.2798
0.16,0.1,0.7284,0.5354,0.3782,0.262,0.3502,0.2734
0.16,0.12,0.7486,0.566,0.3864,0.285,0.3622,0.281
0.16,0.14,0.7416,0.5162,0.3802,0.2576,0.3614,0.2586
0.16,0.16,0.6978,0.5716,0.3628,0.2838,0.335,0.2878
0.16,0.18,0.7538,0.5132,0.3898,0.2498,0.364,0.2634
0.16,0.2,0.7528,0.562,0.3896,0.2798,0.3632,0.2822
0.16,0.22,0.7446,0.5444,0.3934,0.2772,0.3512,0.2672
0.16,0.24,0.7416,0.5148,0.3756,0.2594,0.366,0.2554
0.16,0.26,0.7414,0.5722,0.3804,0.2832,0.361,0.289
0.16,0.28,0.717,0.5654,0.3728,0.284,0.3442,0.2814
0.16,0.3,0.7252,0.5452,0.3776,0.271,0.3476,0.2742
0.16,0.32,0.7112,0.5644,0.366,0.2842,0.3452,0.2802
0.16,0.34,0.755,0.5682,0.3908,0.2856,0.3642,0.2826
0.16,0.36,0.7322,0.5722,0.3806,0.2834,0.3516,0.2888
0.16,0.38,0.74,0.5782,0.3806,0.2858,0.3594,0.2924
0.16,0.4,0.7264,0.5788,0.3772,0.2864,0.3492,0.2924
0.16,0.42,0.718,0.575,0.3786,0.289,0.3394,0.286
0.16,0.44,0.7186,0.588,0.3752,0.2894,0.3434,0.2986
