"l1","alpha","lamda2","rho_A.l1.","rho_I.l1."
4,0.08,0.42,0.689729609171387,0.574288823198891
4,0.08,0.44,0.689783607811168,0.574285588919501
4,0.08,0.46,0.689837232410003,0.574282377176588
4,0.08,0.48,0.689890498526634,0.574279187039675
4,0.08,0.5,0.689943420541163,0.574276017648349
4,0.08,0.52,0.689996011775196,0.574272868205147
4,0.08,0.54,0.690048284595066,0.574269737969435
4,0.08,0.56,0.690100250501049,0.574266626252119
4,0.08,0.58,0.69015192020499,0.574263532411041
4,0.08,0.6,0.690203303698254,0.574260455846951
4,0.08,0.62,0.690254410311615,0.574257395999948
4,0.08,0.64,0.690305248768367,0.57425435234633
4,0.08,0.66,0.690355827231762,0.574251324395776
4,0.08,0.68,0.690406153347633,0.574248311688815
4,0.08,0.7,0.690456234282954,0.574245313794533
4,0.08,0.72,0.690506076760933,0.57424233030849
4,0.08,0.74,0.690555687093137,0.574239360850809
4,0.08,0.76,0.690605071209068,0.574236405064418
4,0.08,0.78,0.690654234683517,0.574233462613423
4,0.08,0.8,0.690703182761985,0.574230533181598
4,0.08,0.82,0.690751920384394,0.574227616470973
4,0.08,0.84,0.690800452207263,0.574224712200517
4,0.08,0.86,0.690848782624526,0.574221820104899
4,0.08,0.88,0.690896915787081,0.574218939933324
4,0.08,0.9,0.690944855621193,0.57421607144844
4,0.08,0.92,0.690992605845816,0.574213214425308
4,0.08,0.94,0.691040169988897,0.574210368650432
4,0.08,0.96,0.691087551402718,0.574207533920843
4,0.08,0.98,0.691134753278309,0.574204710043247
4,0.08,1,0.691181778658959,0.574201896833219
5,0.1,0.02,0.6885066295021,0.574039657722892
5,0.1,0.04,0.688576684472106,0.574034366819495
5,0.1,0.06,0.688644943006939,0.574029210775973
5,0.1,0.08,0.688711649162453,0.574024171379794
5,0.1,0.1,0.688776995998718,0.57401923421755
5,0.1,0.12,0.688841138781699,0.574014387691892
5,0.1,0.14,0.688904204253411,0.574009622331189
5,0.1,0.16,0.688966297274178,0.57400493029485
5,0.1,0.18,0.68902750566858,0.574000305012407
5,0.1,0.2,0.689087903818744,0.57399574091586
5,0.1,0.22,0.689147555368145,0.573991233238267
5,0.1,0.24,0.689206515283414,0.573986777860132
5,0.1,0.26,0.689264831445824,0.573982371190824
5,0.1,0.28,0.6893225458935,0.573978010076008
5,0.1,0.3,0.689379695801009,0.573973691724627
5,0.1,0.32,0.689436314259177,0.573969413650771
5,0.1,0.34,0.689492430901369,0.573965173626986
5,0.1,0.36,0.689548072410571,0.573960969646452
5,0.1,0.38,0.689603262933136,0.573956799892121
5,0.1,0.4,0.689658024418805,0.57395266271135
5,0.1,0.42,0.689712376902081,0.5739485565949
5,0.1,0.44,0.68976633873659,0.57394448015944
5,0.1,0.46,0.689819926791539,0.573940432132879
5,0.1,0.48,0.689873156617429,0.573936411341987
5,0.1,0.5,0.68992604258668,0.573932416701884
5,0.1,0.52,0.689978598013716,0.573928447207069
5,0.1,0.54,0.690030835258121,0.573924501923705
5,0.1,0.56,0.690082765813822,0.573920579982948
5,0.1,0.58,0.690134400386663,0.573916680575144
5,0.1,0.6,0.690185748962334,0.573912802944741
5,0.1,0.62,0.690236820866222,0.573908946385813
